FY,CSB,OBJECTID, Total Assets , Total Liabilities , Total Net Assets , Total Revenues , State Funds , Federal Funds , Local Funds ,,,,,,
2011,Alexandria,35," 4,691,344 "," 738,328 "," 3,953,016 "," 6,569,723 "," 1,370,939 "," 369,775 "," 93,697 ",,,,,,
2011,Alleghany Highlands,26,,,,,,,,,,,,,
2011,Arlington County,36,,,,,,,,,,,,,
2011,Blue Ridge Behavioral Healthcare,8," 24,430,225 "," 13,512,895 "," 10,917,330 "," 28,469,827 "," 10,602,101 "," 2,331,891 "," 776,133 ",,,,,,
2011,Chesapeake,13,,,,,,,,,,,,,
2011,Chesterfield,22,,,,,,,,,,,,,
2011,Colonial Behavioral Health,19," 9,192,871 "," 4,504,690 "," 4,688,181 "," 13,170,481 "," 4,918,691 "," 811,605 "," 1,969,432 ",,,,,,
2011,Crossroads,24," 15,279,110 "," 2,698,023 "," 12,581,087 "," 16,571,271 "," 1,895,966 "," 659,079 "," 341,238 ",,,,,,
2011,Cumberland Mountain,4," 9,045,414 "," 2,539,924 "," 6,505,490 "," 22,141,962 "," 4,967,314 "," 1,452,793 "," 128,275 ",,,,,,
2011,Danville-Pittsylvania,9," 10,295,764 "," 2,830,860 "," 7,464,904 "," 16,176,233 "," 6,134,579 "," 2,029,495 "," 589,385 ",,,,,,
2011,Dickenson County,2," 2,586,811 "," 233,737 "," 2,353,074 "," 3,042,837 "," 1,167,594 "," 441,022 "," 117,936 ",,,,,,
2011,District 19,11," 5,795,578 "," 1,521,303 "," 4,274,275 "," 18,041,088 "," 5,934,091 "," 2,036,913 "," 722,449 ",,,,,,
2011,Eastern Shore,18," 7,293,373 "," 2,695,854 "," 4,597,519 "," 9,971,070 "," 1,997,899 "," 753,565 "," 199,806 ",,,,,,
2011,Fairfax-Falls Church,34,,,,,,,,,,,,,
2011,Goochland-Powhatan,23," 2,317,145 "," 1,681,183 "," 635,962 "," 5,138,028 "," 2,018,923 "," 430,420 "," 543,060 ",,,,,,
2011,Hampton-Newport News,17," 45,276,872 "," 31,984,899 "," 13,291,973 "," 57,843,611 "," 17,701,494 "," 3,254,330 "," 3,263,724 ",,,,,,
2011,Hanover,21,,,,,,,,,,,,,
2011,Harrisonburg-Rockingham,39," 8,433,701 "," 1,180,496 "," 7,253,205 "," 9,667,405 "," 4,285,619 "," 639,995 "," 657,941 ",,,,,,
2011,Henrico,20,,,,,,,,,,,,,
2011,Highlands,3," 17,802,445 "," 12,140,515 "," 5,661,930 "," 15,905,021 "," 2,756,930 "," 815,593 "," 566,836 ",,,,,,
2011,Horizon Behavioral Health,25,,,,,,,,,,,,,
2011,Loudon County,37,,,,,,,,,,,,,
2011,Middle Peninsula-Northern Neck,31," 17,802,445 "," 12,140,515 "," 5,661,930 "," 15,905,021 "," 2,756,930 "," 815,593 "," 566,836 ",,,,,,
2011,Mount Rogers,5," 28,071,179 "," 8,471,973 "," 19,599,206 "," 39,094,966 "," 6,771,598 "," 1,342,342 "," 681,665 ",,,,,,
2011,New River Valley,6," 28,071,179 "," 8,471,973 "," 19,599,206 "," 39,094,966 "," 6,771,598 "," 1,342,342 "," 681,665 ",,,,,,
2011,Norfolk,16," 12,587,225 "," 4,081,365 "," 8,505,860 "," 25,058,496 "," 10,135,321 "," 3,406,711 "," 3,851,000 ",,,,,,
2011,Northwestern,38," 7,507,239 "," 3,165,814 "," 4,341,425 "," 13,262,592 "," 5,102,271 "," 1,103,495 "," 1,169,219 ",,,,,,
2011,Piedmont,7," 15,107,765 "," 4,038,056 "," 11,069,709 "," 16,572,707 "," 4,105,725 "," 1,717,685 "," 354,744 ",,,,,,
2011,Planning District One,1," 1,596,222 "," 1,339,620 "," 256,602 "," 9,521,629 "," 3,291,598 "," 1,076,500 "," 577,925 ",,,,,,
2011,Portsmouth,15,,,,,,,,,,,,,
2011,Prince William,33,,,,,,,,,,,,,
2011,Rappahannock-Rapidan,32," 12,316,028 "," 3,175,354 "," 9,140,674 "," 17,414,879 "," 4,791,773 "," 2,394,196 "," 841,724 ",,,,,,
2011,Rappahannock Area,30," 30,825,418 "," 7,752,306 "," 23,073,112 "," 25,562,435 "," 6,623,526 "," 2,017,564 "," 864,696 ",,,,,,
2011,Region Ten,29," 24,065,123 "," 15,293,917 "," 8,771,206 "," 34,947,999 "," 6,696,152 "," 2,170,922 "," 1,979,713 ",,,,,,
2011,Richmond,40," 16,826,253 "," 6,358,944 "," 10,467,309 "," 39,801,260 "," 9,813,100 "," 5,920,784 "," 1,743,725 ",,,,,,
2011,Rockbridge Area,27," 8,127,372 "," 5,039,024 "," 3,088,348 "," 8,030,328 "," 2,142,726 "," 737,526 "," 244,657 ",,,,,,
2011,Southside,10," 12,148,959 "," 593,105 "," 11,555,854 "," 12,182,162 "," 3,287,685 "," 647,413 "," 220,546 ",,,,,,
2011,Valley,28," 15,205,665 "," 4,724,171 "," 10,481,494 "," 20,124,998 "," 5,666,739 "," 1,206,687 "," 363,782 ",,,,,,
2011,Virginia Beach,14,,,,,,,,,,,,,
2011,Western Tidewater,12," 14,502,143 "," 6,206,494 "," 8,295,649 "," 19,448,678 "," 3,543,830 "," 753,346 "," 582,202 ",,,,,,
2012,Alexandria,35,,,,,,,,,,,,,
2012,Alleghany Highlands,26," 4,391,085 "," 653,107 "," 3,737,978 "," 6,402,117 "," 1,423,342 "," 335,275 "," 101,586 ",,,,,,
2012,Arlington County,36," 24,215,454 "," 12,445,512 "," 11,769,942 "," 27,237,429 "," 9,887,332 "," 2,633,352 "," 771,133 ",,,,,,
2012,Blue Ridge Behavioral Healthcare,8,,,,,,,,,,,,,
2012,Chesapeake,13,,,,,,,,,,,,,
2012,Chesterfield,22,,,,,,,,,,,,,
2012,Colonial Behavioral Health,19," 8,928,761 "," 4,522,331 "," 4,406,430 "," 13,506,208 "," 5,019,883 "," 715,806 "," 1,976,300 ",,,,,,
2012,Crossroads,24," 16,256,255 "," 2,290,351 "," 13,965,904 "," 16,752,631 "," 1,981,009 "," 639,650 "," 341,238 ",,,,,,
2012,Cumberland Mountain,4," 8,539,608 "," 2,871,514 "," 5,668,094 "," 22,907,529 "," 4,836,951 "," 1,021,334 "," 259,446 ",,,,,,
2012,Danville-Pittsylvania,9," 13,879,513 "," 4,231,661 "," 9,647,852 "," 16,674,319 "," 6,181,705 "," 1,306,258 "," 618,732 ",,,,,,
2012,Dickenson County,2," 2,641,293 "," 215,807 "," 2,425,486 "," 2,985,384 "," 1,234,096 "," 348,966 "," 138,000 ",,,,,,
2012,District 19,11," 5,455,323 "," 1,304,711 "," 4,150,612 "," 17,607,169 "," 6,101,505 "," 1,872,431 "," 715,788 ",,,,,,
2012,Eastern Shore,18," 6,459,866 "," 1,907,903 "," 4,551,963 "," 9,708,958 "," 2,040,336 "," 662,686 "," 192,850 ",,,,,,
2012,Fairfax-Falls Church,34,,,,,,,,,,,,,
2012,Goochland-Powhatan,23," 2,660,588 "," 1,372,472 "," 1,288,116 "," 5,049,888 "," 2,044,335 "," 391,461 "," 505,460 ",,,,,,
2012,Hampton-Newport News,17," 41,681,860 "," 32,148,351 "," 9,533,509 "," 61,189,655 "," 17,869,558 "," 2,987,857 "," 3,214,188 ",,,,,,
2012,Hanover,21,,,,,,,,,,,,,
2012,Harrisonburg-Rockingham,39," 9,506,139 "," 1,169,974 "," 8,336,165 "," 10,769,841 "," 4,822,342 "," 649,650 "," 676,759 ",,,,,,
2012,Henrico,20,,,,,,,,,,,,,
2012,Highlands,3," 18,783,032 "," 13,745,553 "," 5,037,479 "," 18,650,606 "," 2,878,977 "," 846,648 "," 492,796 ",,,,,,
2012,Horizon Behavioral Health,25,,,,,,,,,,,,,
2012,Loudon County,37,,,,,,,,,,,,,
2012,Middle Peninsula-Northern Neck,31," 18,783,032 "," 13,745,553 "," 5,037,479 "," 18,650,606 "," 2,878,977 "," 846,648 "," 492,796 ",,,,,,
2012,Mount Rogers,5," 28,344,114 "," 8,602,812 "," 19,741,302 "," 51,234,144 "," 6,990,816 "," 1,282,242 "," 521,537 ",,,,,,
