Year,FIPS Code,Locality,Source,Type,Case Count Display,Rate,VDH Health District,VDH Health District Case Count Display,VDH Health District Case Rate,VDH Health Region,VDH Health Region Case Count Display,VDH Health Region Case Rate,Virginia Hospital & Healthcare Preparedness Region,Virginia Hospital & Healthcare Preparedness Region Case Count Display,Virginia Hospital & Healthcare Preparedness Region Case Rate,Virginia Department of Emergency Management Region,Virginia Department of Emergency Management Region Case Count Display,Virginia Department of Emergency Management Region Case Rate,Community Service Board,Community Service Board Case Count Display,Community Service Board Case Rate,Virginia State Police Division,Virginia State Police Division Case Count Display,Virginia State Police Division Case Rate,Virginia State,Virginia State Case Count Display,Virginia State Case Rate
2011,51001,Accomack,ED,ED Heroin Overdose,N/A,N/A,Eastern Shore,N/A,N/A,Eastern,N/A,N/A,Eastern,N/A,N/A,Tidewater,N/A,N/A,Eastern Shore Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
2011,51003,Albemarle,ED,ED Heroin Overdose,N/A,N/A,Thomas Jefferson,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Central Virginia,N/A,N/A,Region Ten Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51005,Alleghany,ED,ED Heroin Overdose,N/A,N/A,Alleghany,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,Alleghany Highlands Community Services Board,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51007,Amelia,ED,ED Heroin Overdose,N/A,N/A,Piedmont,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Crossroads Community Services Board,N/A,N/A,VSP Division 1,N/A,N/A,Virginia State,N/A,N/A
2011,51009,Amherst,ED,ED Heroin Overdose,N/A,N/A,Central Virginia,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Central Virginia,N/A,N/A,Horizon Behavioral Health ,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51011,Appomattox,ED,ED Heroin Overdose,N/A,N/A,Central Virginia,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Central Virginia,N/A,N/A,Horizon Behavioral Health ,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51013,Arlington,ED,ED Heroin Overdose,N/A,N/A,Arlington,N/A,N/A,Northern,N/A,N/A,Northern,N/A,N/A,Northern Virginia,N/A,N/A,Arlington County Community Services Board,N/A,N/A,VSP Division 7,N/A,N/A,Virginia State,N/A,N/A
2011,51015,Augusta,ED,ED Heroin Overdose,N/A,N/A,Central Shenandoah,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Central Virginia,N/A,N/A,Valley Community Services Board,N/A,N/A,VSP Division 3,N/A,N/A,Virginia State,N/A,N/A
2011,51017,Bath,ED,ED Heroin Overdose,N/A,N/A,Central Shenandoah,N/A,N/A,Northwest,N/A,N/A,Northwest,N/A,N/A,Roanoke Area,N/A,N/A,Rockbridge Area Community Services,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51019,Bedford,ED,ED Heroin Overdose,N/A,N/A,Central Virginia,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,Horizon Behavioral Health ,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51021,Bland,ED,ED Heroin Overdose,N/A,N/A,Mount Rogers,N/A,N/A,Southwest,N/A,N/A,Far Southwest,N/A,N/A,Southwest,N/A,N/A,Mount Rogers Community Services Board,N/A,N/A,VSP Division 4,N/A,N/A,Virginia State,N/A,N/A
2011,51023,Botetourt,ED,ED Heroin Overdose,N/A,N/A,Alleghany,N/A,N/A,Southwest,N/A,N/A,Near Southwest,N/A,N/A,Roanoke Area,N/A,N/A,Blue Ridge Behavioral Healthcare,N/A,N/A,VSP Division 6,N/A,N/A,Virginia State,N/A,N/A
2011,51025,Brunswick,ED,ED Heroin Overdose,N/A,N/A,Southside,N/A,N/A,Central,N/A,N/A,Central,N/A,N/A,Richmond,N/A,N/A,Southside Community Services Board,N/A,N/A,VSP Division 5,N/A,N/A,Virginia State,N/A,N/A
