Year,FIPS Code,Type,Rate
2011,51001,Diagnosed HIV,9
2011,51001,ED Heroin Overdose,
2011,51001,ED Opioid Overdose,
2011,51001,EMS Narcan,6
2011,51001,Fatal Fentanyl and/or Heroin Overdose,3
2011,51001,Fatal Prescription Opioid Overdose,3
2011,51001,Neonatal Abstinance Syndrome,4.2
2011,51001,Reported Hepatitis C (18-30 year olds),21.2
2011,51003,Diagnosed HIV,5
2011,51003,ED Heroin Overdose,
2011,51003,ED Opioid Overdose,
2011,51003,EMS Narcan,6
2011,51003,Fatal Fentanyl and/or Heroin Overdose,0
2011,51003,Fatal Prescription Opioid Overdose,2
2011,51003,Neonatal Abstinance Syndrome,1.9
2011,51003,Reported Hepatitis C (18-30 year olds),9.7
2011,51005,Diagnosed HIV,6.2
2011,51005,ED Heroin Overdose,
2011,51005,ED Opioid Overdose,
2011,51005,EMS Narcan,30.9
2011,51005,Fatal Fentanyl and/or Heroin Overdose,0
2011,51005,Fatal Prescription Opioid Overdose,0
2011,51005,Neonatal Abstinance Syndrome,0
2011,51005,Reported Hepatitis C (18-30 year olds),52.2
2011,51007,Diagnosed HIV,7.8
2011,51007,ED Heroin Overdose,
2011,51007,ED Opioid Overdose,
2011,51007,EMS Narcan,7.8
2011,51007,Fatal Fentanyl and/or Heroin Overdose,0
2011,51007,Fatal Prescription Opioid Overdose,0
2011,51007,Neonatal Abstinance Syndrome,0
2011,51007,Reported Hepatitis C (18-30 year olds),0
2011,51009,Diagnosed HIV,3.1
2011,51009,ED Heroin Overdose,
2011,51009,ED Opioid Overdose,
2011,51009,EMS Narcan,0
2011,51009,Fatal Fentanyl and/or Heroin Overdose,0
2011,51009,Fatal Prescription Opioid Overdose,3.1
2011,51009,Neonatal Abstinance Syndrome,0
2011,51009,Reported Hepatitis C (18-30 year olds),19.1
2011,51011,Diagnosed HIV,26.6
2011,51011,ED Heroin Overdose,
2011,51011,ED Opioid Overdose,
2011,51011,EMS Narcan,0
2011,51011,Fatal Fentanyl and/or Heroin Overdose,0
2011,51011,Fatal Prescription Opioid Overdose,0
2011,51011,Neonatal Abstinance Syndrome,0
2011,51011,Reported Hepatitis C (18-30 year olds),0
2011,51013,Diagnosed HIV,16.2
2011,51013,ED Heroin Overdose,
2011,51013,ED Opioid Overdose,
2011,51013,EMS Narcan,0
2011,51013,Fatal Fentanyl and/or Heroin Overdose,0.5
2011,51013,Fatal Prescription Opioid Overdose,2.8
2011,51013,Neonatal Abstinance Syndrome,1
2011,51013,Reported Hepatitis C (18-30 year olds),11.7
2011,51015,Diagnosed HIV,0
2011,51015,ED Heroin Overdose,
