County,FIPS County Code,Diagnosed_HIV,ED_Heroin_Overdose,ED_Opioid_Overdose,EMS_Narcan,Death_FentanylHeroin,Death_Prescription,Neonatal_Abstinance,Reported_HepC,DrugCostPerClaim,DaySupplyPerClaim,PovertyStatus(Last12mo),Disability(PercHousehold),FoodStamps(PercHousehold)
"Accomack, VA",51001,15.2,0,51.6,6.1,0,3,15.5,111.2,28.0102673,22.90177094,25.3,22.4,14.4
"Albemarle, VA",51003,4.7,11.4,71.9,15.1,0.9,1.9,0,18.9,43.66374089,20.1486927,14.4,19.2,5
"Alleghany, VA",51005,12.8,0,185,19.1,6.4,6.4,0,0,25.33048761,24.30114377,42,35.4,12.3
"Amelia, VA",51007,0,7.8,93,38.8,0,0,14.2,165.6,16.68821751,14.42411966,39.1,31.4,13.1
"Amherst, VA",51009,3.1,0,68.9,3.1,0,0,14,77.5,24.97737173,22.92191317,23.4,29.5,11.5
"Appomattox, VA",51011,0,0,136.2,6.5,0,6.5,18,0,40.07643721,20.74257274,28.3,31.1,16.2
"Arlington, VA",51013,14.8,1.7,46.3,15.7,1.7,3.9,0.9,30.5,72.4595338,20.6809246,21.3,9.8,3.9
"Augusta, VA",51015,9.4,0,5.4,10.8,1.3,1.3,3.5,129.7,41.95293551,22.0443256,13,27.4,7.9
"Bath, VA",51017,0,0,67.1,0,0,0,0,0,17.82096774,17.510454,0,23.5,7.7
"Bedford, VA",51019,1.3,1.3,65.6,16.7,1.3,5.1,6.3,66.3,41.91693066,22.4010989,24.3,27.2,8.7
"Bland, VA",51021,0,0,0,15.2,0,15.2,39.2,762.5,39.01943156,29.18158492,30.7,31.7,14.9
"Botetourt, VA",51023,3,3,60,45,3,6,12.9,190.6,30.37637643,20.82980204,40.9,26.7,4.8
"Brunswick, VA",51025,35.9,0,71.9,12,0,0,0,170.6,21.82615878,20.79038168,29.9,34.3,23.7
"Buchanan, VA",51027,4.4,0,127.3,17.6,4.4,35.1,49.1,460.3,17.24285921,25.93525953,47.5,45.5,20.8
"Buckingham, VA",51029,17.6,0,64.6,0,0,0,0,143.1,33.12142752,22.662434,23.3,34.2,18.5
"Campbell, VA",51031,1.8,0,41.8,45.4,1.8,5.4,9.4,54.1,31.56653625,21.25473744,17.2,27.7,12.2
"Caroline, VA",51033,10,6.7,136.7,50,0,6.7,26,153.7,19.67858469,16.68908514,31.9,29.4,14.5
"Carroll, VA",51035,3.4,0,74,37,0,3.4,15,212.9,23.69485594,16.22949123,19.9,32.9,13.9
"Charles City, VA",51036,0,0,42.6,0,14.2,0,0,0,,,45.9,27.3,11.5
"Charlotte, VA",51037,0,8.2,90.2,16.4,0,0,0,0,42.2311065,26.02166299,23.6,39.4,19.2
"Chesterfield, VA",51041,10.1,11.6,101.3,38.1,6.9,2.4,7.6,128.5,40.91304341,18.68258493,32.6,21.1,7.4
"Clarke, VA",51043,0,13.9,62.7,55.7,7,0,7.6,212.9,44.64215681,26.88721021,32.8,21.8,7
"Craig, VA",51045,0,0,76.8,0,0,0,0,438,22.11957356,27.18336887,26.8,37.2,11.2
"Culpeper, VA",51047,4,42.5,155.8,54.6,14.2,12.1,4.5,339.9,29.14343549,19.35477218,30.7,22.5,9.8
"Cumberland, VA",51049,20.6,0,82.3,10.3,10.3,0,0,67.8,19.24979167,13.375,36,34.5,23.1
"Dickenson, VA",51051,6.6,0,191.9,105.9,0,46.3,15.6,862.1,43.44865352,27.72217562,20.3,44.4,20.2
"Dinwiddie, VA",51053,21.5,0,14.4,50.3,3.6,3.6,0,108.9,41.33981429,25.65684296,38.5,31.5,17
"Essex, VA",51057,27,0,152.7,27,0,0,0,0,12.99328502,13.80627178,29.2,24.4,13.1
"Fairfax, VA",51059,7.5,5.4,68.7,19.3,3.3,2.5,1.9,26.9,67.7869393,20.65311819,24,14.9,4.2
"Fauquier, VA",51061,4.4,14.5,123.6,88.7,13.1,8.7,24.8,131.6,71.10910767,18.5817351,29,23.2,5
"Floyd, VA",51063,12.8,0,51.1,12.8,0,0,0,105.2,32.51832063,21.50617608,23.5,28,12.6
"Fluvanna, VA",51065,3.8,22.9,76.2,26.7,0,0,7.9,83.4,47.39756535,24.32035871,25.8,25.2,5.2
"Franklin, VA",51067,1.8,1.8,90.6,12.4,1.8,3.6,20.6,339.1,30.18806719,21.85887733,26.8,29.7,12.4
"Frederick, VA",51069,7.2,13.2,46.9,34.9,9.6,7.2,14.2,141.4,44.11342004,20.87791901,24.9,24.6,6.2
"Giles, VA",51071,18,0,83.8,6,0,12,0,518.6,74.72118019,26.17089374,29.8,37.9,9.9
"Gloucester, VA",51073,0,10.8,137.3,32.3,13.5,0,2.7,55,22.42873082,16.79444887,24.5,28.3,7.6
"Goochland, VA",51075,18,4.5,49.4,31.5,0,4.5,7.1,403.2,17.76240011,18.85787671,5.4,24.3,7.7
"Grayson, VA",51077,0,0,50,25,0,0,7.2,90.1,27.21161757,26.91684046,35.3,33.5,19.4
"Greene, VA",51079,5.2,26.1,120,146.1,5.2,0,14.9,0,32.13306081,21.06509009,38.5,27.3,7.6
"Greensville, VA",51081,16.8,0,25.2,0,8.4,0,0,228.8,30.50811897,18.89373208,36.4,41.7,22.7
"Halifax, VA",51083,2.8,0,14.2,28.5,0,5.7,22.7,20.6,21.23065327,16.69489323,33.5,33.2,17.1
"Hanover, VA",51085,6.8,13.6,107.5,23.2,4.8,3.9,7.2,110.7,56.6971376,20.45762601,28.8,21.5,4.5
"Henrico, VA",51087,18.1,14.5,124.6,51.1,8.6,2.8,3.3,61,43.7015394,18.88396914,28.4,20.4,8.9
"Henry, VA",51089,5.8,0,90.6,59.8,0,5.8,9.2,228.5,44.03393351,27.06609043,31.3,33.9,18.2
"Highland, VA",51091,0,0,0,0,45.2,0,0,0,73.9802651,27.86450663,0,34.6,9.4
"Isle of Wight, VA",51093,19.3,13.8,60.6,38.6,5.5,2.8,8.4,59,,,30.2,25,12.7
"James City, VA",51095,4.1,1.4,98.4,8.2,0,6.8,4.3,10.1,,,27.5,21.5,4.5
"King and Queen, VA",51097,14,14,111.8,14,0,0,16.7,0,,,31.2,20.9,9.4
"King George, VA",51099,15.7,11.8,74.5,47,3.9,7.8,6.3,24.8,14.29628718,13.30153846,20.5,24.2,7.5
"King William, VA",51101,0,12.3,147.5,24.6,6.1,12.3,0,40.7,37.36676166,23.02880219,30.6,20.6,7.9
"Lancaster, VA",51103,18.2,0,27.4,9.1,0,0,0,167.5,37.30047628,22.29299363,43.1,26.7,7.7
"Lee, VA",51105,4,0,76.8,16.2,0,8.1,31.1,347,31.47817644,26.60580452,33.1,46.8,24.7
"Loudoun, VA",51107,5.9,5.9,64.7,14.4,2.4,2.4,2.3,15.7,66.39636123,21.47196383,18,13,2.9
"Louisa, VA",51109,2.9,23.1,101.2,89.6,2.9,2.9,19,105.3,34.21672779,21.92746323,38.7,29.1,9.6
"Lunenburg, VA",51111,8.1,0,48.8,8.1,8.1,0,0,0,18.49435076,18.38216695,27.2,36.4,18
