FIPS Code,Opioid Rate per 100 per year,Percent Below Poverty Level Estimate Population For Whom Poverty Status Is Determined,"Percent Below Poverty Level Estimate White Alone, Not Hispanic Or Latino",Total Estimate All Individuals With Income Below The Following Poverty Ratios 50 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 125 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 150 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 185 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 200 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 300 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 400 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 500 Percent Of Poverty Level,Percent Below Poverty Level Estimate Unrelated Individuals For Whom Poverty Status Is Determined,"Percent Below Poverty Level Estimate Worked Fulltime, Yearround In The Past 12 Months","Percent Below Poverty Level Estimate Worked Less Than Fulltime, Yearround In The Past 12 Months",Percent Below Poverty Level Estimate Did Not Work,Percent With A Disability Estimate Total Civilian Noninstitutionalized Population,"Percent With A Disability Estimate White Alone, Not Hispanic Or Latino",Percent Households Receiving Food Stamps/SNAP Estimate Households,Percent Households Not Receiving Food Stamps/SNAP Estimate Households,Percent Estimate Household Type Marriedcouple Family,Percent Households Receiving Food Stamps/SNAP Estimate Household Type Married couple Family,Percent Households Not Receiving Food Stamps/SNAP Estimate Household Type Marriedcouple Family,Percent Estimate Household Type Other Family:,Percent Households Receiving Food Stamps/SNAP Estimate Household Type Other Family:,Percent Households Not Receiving Food Stamps/SNAP Estimate Household Type Other Family:,Percent Estimate Household Type Nonfamily Households,Percent Households Receiving Food Stamps/SNAP Estimate Household Type Nonfamily Households,Percent Households Not Receiving Food Stamps/SNAP Estimate Household Type Nonfamily Households,Percent Estimate Poverty Status In The Past 12 Months Below Poverty Level,Percent Households Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months Below Poverty Level,Percent Households Not Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months Below Poverty Level,Percent Estimate Poverty Status In The Past 12 Months At Or Above Poverty Level,Percent Households Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months At Or Above Poverty Level,Percent Households Not Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months At Or Above Poverty Level,Percent Estimate Disability Status With One Or More People With A Disability,Percent Households Receiving Food Stamps/SNAP Estimate Disability Status With One Or More People With A Disability,Percent Households Not Receiving Food Stamps/SNAP Estimate Disability Status With One Or More People With A Disability,Percent Estimate Disability Status With No Persons With A Disability,Percent Households Receiving Food Stamps/SNAP Estimate Disability Status With No Persons With A Disability,Percent Households Not Receiving Food Stamps/SNAP Estimate Disability Status With No Persons With A Disability,"Percent Estimate White Alone, Not Hispanic Or Latino","Percent Households Receiving Food Stamps/SNAP Estimate White Alone, Not Hispanic Or Latino","Percent Households Not Receiving Food Stamps/SNAP Estimate White Alone, Not Hispanic Or Latino",Percent Households Receiving Food Stamps/SNAP Estimate Work Status Families No Workers In Past 12 Months,Percent Households Not Receiving Food Stamps/SNAP Estimate Work Status Families No Workers In Past 12 Months,Percent Households Receiving Food Stamps/SNAP Estimate Work Status Families 1 Worker In Past 12 Months,Percent Households Not Receiving Food Stamps/SNAP Estimate Work Status Families 1 Worker In Past 12 Months,Percent Estimate Work Status Families 2 Or More Workers In Past 12 Months,Percent Households Receiving Food Stamps/SNAP Estimate Work Status Families 2 Or More Workers In Past 12 Months,Percent Households Not Receiving Food Stamps/SNAP Estimate Work Status Families 2 Or More Workers In Past 12 Months,"Labor Force Participation Rate Estimate White Alone, Not Hispanic Or Latino","Unemployment Rate Estimate White Alone, Not Hispanic Or Latino",Labor Force Participation Rate Estimate Poverty Status In The Past 12 Months Below Poverty Level,Unemployment Rate Estimate Poverty Status In The Past 12 Months Below Poverty Level,Labor Force Participation Rate Estimate Poverty Status In The Past 12 Months At Or Above The Poverty Level,Unemployment Rate Estimate Poverty Status In The Past 12 Months At Or Above The Poverty Level,Labor Force Participation Rate Estimate Disability Status With Any Disability,Unemployment Rate Estimate Disability Status With Any Disability,Diagnosed Hiv,ED Heroin Overdose,ED Opioid Overdose,Ems Narcan,Death Fentanylheroin,Death Prescription,Neonatal Abstinance,Reported Hepatitis C,Opioid Cost per Claim,Opioid Daily Supply per Claim,Poverty Status (Last 12 months),Disability (Percent Household),Food Stamps(Percent Household)
51001,64.8,19.6,12.2,3208,8212,10755,13324,13850,20212,24710,27379,36.5,3.9,43.4,54.8,12.4,15.1,14.4,85.6,47.5,18.3,52.4,18,48.9,12.8,34.5,32.8,34.8,17.6,54.1,11.4,82.4,45.9,88.6,22.4,27.7,21.5,77.6,72.3,78.5,66.2,32.5,71.9,26.1,21.2,49,30.5,44.8,24.9,48.3,55.8,4.9,44.5,25.3,81.5,4.6,35.2,7.5,15.2,0,51.6,6.1,0,3,15.5,111.2,28.0102673,22.90177094,25.3,22.4,14.4
51003,61.7,10.2,7.9,5419,12969,15578,20511,22231,34565,47842,58163,22.4,3.4,31.9,40.9,9.2,9.4,5,95,52.9,23.8,54.4,11.1,52.2,8.9,36,24.1,36.7,10.5,43,8.8,89.5,57,91.2,19.2,51.4,17.5,80.8,48.6,82.5,82.9,63.3,83.9,24.2,13.6,47.7,29.3,55.4,28.1,57.1,60.3,3.8,40.8,14.4,83.5,2.8,43.8,8.9,4.7,11.4,71.9,15.1,0.9,1.9,0,18.9,43.66374089,20.1486927,14.4,19.2,5
51005,85.7,17,15.3,1311,3352,4422,5169,5569,8412,10702,12843,29,4.4,36.4,40,18.8,19.2,12.3,87.7,51.4,26.3,54.9,13.2,34.7,10.2,35.4,39.1,34.9,16.6,57.2,11,83.4,42.8,89,35.4,56.8,32.4,64.6,43.2,67.6,94.8,88,95.7,34.6,24.1,31.3,29.8,44.7,34.1,46.1,51.5,4.8,29.6,42,80.4,2.1,33.8,17.1,12.8,0,185,19.1,6.4,6.4,0,0,25.33048761,24.30114377,42,35.4,12.3
51007,52.3,11.6,7.4,806,2159,2571,3639,4247,6105,8548,10221,21.3,0,30.6,33.8,15,15.1,13.1,86.9,61.6,39.1,65,17.2,43.8,13.2,21.2,17.2,21.8,11.1,54,4.6,88.9,46,95.4,31.4,49.4,28.7,68.6,50.6,71.3,71.9,66.1,72.7,24.7,17.4,53.6,28.6,49.6,21.7,54,59.2,2.7,51.8,39.1,77.6,2.4,39,9.3,0,7.8,93,38.8,0,0,14.2,165.6,16.68821751,14.42411966,39.1,31.4,13.1
51009,83,13,11,2242,5915,7365,9996,10643,16729,22207,26228,31.3,6,34.5,48.9,14.3,14.5,11.5,88.5,51,30.8,53.6,16.3,36.6,13.7,32.7,32.6,32.7,13,54.9,7.5,87,45.1,92.5,29.5,41.3,27.9,70.5,58.7,72.1,77.7,68.3,78.9,19.1,16.3,46.5,29.2,52.2,34.4,54.6,60.4,5.9,48.9,23.4,80.2,4.6,35.9,12.7,3.1,0,68.9,3.1,0,0,14,77.5,24.97737173,22.92191317,23.4,29.5,11.5
51011,138.6,17.7,15.2,933,3455,3951,4852,5203,8089,10496,12209,30.7,2.1,28,47.5,17,15.8,16.2,83.8,54.8,20.9,61.4,21.6,55.5,15,23.6,23.6,23.6,17.6,63,8.9,82.4,37,91.1,31.1,63.9,24.8,68.9,36.1,75.2,80.8,56.5,85.5,32.2,17.4,45.7,33.9,44.4,22,48.7,58,5.1,42,28.3,78.1,3.8,30.7,11.4,0,0,136.2,6.5,0,6.5,18,0,40.07643721,20.74257274,28.3,31.1,16.2
51013,26.1,9,4.6,9898,24660,28628,36199,38380,56272,73497,91580,12.3,1.2,24.5,45.2,5.4,5.3,3.9,96.1,37.6,25.5,38.1,8.9,37.8,7.7,53.5,36.6,54.2,6.8,43,5.3,93.2,57,94.7,9.8,43.2,8.5,90.2,56.8,91.5,68.6,21.8,70.5,21.5,6.6,45.1,26.7,65,33.4,66.7,80.6,2.4,52.9,21.3,90.4,2.5,58.4,13.7,14.8,1.7,46.3,15.7,1.7,3.9,0.9,30.5,72.4595338,20.6809246,21.3,9.8,3.9
51015,29.1,9.5,8.5,2766,9277,12565,17236,20221,33799,45538,54493,21.5,1.6,33.7,34.1,14,13.8,7.9,92.1,59.3,30.2,61.8,14.3,49.1,11.4,26.4,20.7,26.8,10.1,44.3,7.2,89.9,55.7,92.8,27.4,49.3,25.5,72.6,50.7,74.5,95.2,87.3,95.9,20.6,15.4,43.3,29.7,53.3,36,54.9,61.1,4.3,48,13,81.8,4.1,40.8,5.4,9.4,0,5.4,10.8,1.3,1.3,3.5,129.7,41.95293551,22.0443256,13,27.4,7.9
51017,6.2,7.7,7.3,155,835,1435,1564,1722,2426,3127,3406,15,2.9,14.3,30.1,14.6,13.7,7.7,92.3,47.3,18.2,49.8,7.6,8.5,7.5,45.1,73.3,42.7,10.9,15.8,10.5,89.1,84.2,89.5,23.5,32.7,22.7,76.5,67.3,77.3,94.7,84.2,95.6,0,22.7,31.8,16.7,60.9,68.2,60.6,65.8,6.3,57.3,0,87.5,4.1,53.4,16.2,0,0,67.1,0,0,0,0,0,17.82096774,17.510454,0,23.5,7.7
51019,46.8,9.7,7.9,3934,10295,12625,17029,19505,34542,47236,56420,24.5,3.8,33.7,39.7,14,14.1,8.7,91.3,58.3,30.1,61,12.3,37.7,9.9,29.4,32.2,29.1,10.1,41.9,7,89.9,58.1,93,27.2,59.3,24.1,72.8,40.7,75.9,90.6,82.8,91.4,17.4,15.8,54.6,30.1,51.9,28,54.1,60.8,5.4,46.7,24.3,81.1,4.3,40.7,19,1.3,1.3,65.6,16.7,1.3,5.1,6.3,66.3,41.91693066,22.4010989,24.3,27.2,8.7
