Year,Locality,MSO,DrugUsage,count,sum_female,sum_male,FIPS Code,County Name
2010,Accomack,Abduction,Moderate Use,2,0,2,51001,Accomack County
2010,Alexandria,Abduction,Drugs Not Used,1,0,1,51510,Alexandria City
2010,Alleghany,Abduction,Not Reported,1,0,1,51005,Alleghany County
2010,Amelia,Abduction,Not Reported,1,0,1,51007,Amelia County
2010,Amherst,Abduction,Occasional Use,1,0,1,51009,Amherst County
2010,Arlington,Abduction,"Drugs Used, Extent Unknown",1,0,1,51013,Arlington County
2010,Arlington,Abduction,Heavy Use,1,0,1,51013,Arlington County
2010,Arlington,Abduction,Not Reported,1,0,1,51013,Arlington County
2010,Bedford,Abduction,Not Reported,1,0,1,51019,Bedford County
2010,Buchanan,Abduction,Not Reported,1,0,1,51027,Buchanan County
2010,Campbell,Abduction,Heavy Use,1,0,1,51031,Campbell County
2010,Campbell,Abduction,Moderate Use,1,0,1,51031,Campbell County
2010,Campbell,Abduction,Occasional Use,1,0,1,51031,Campbell County
2010,Charlottesville,Abduction,Drugs Not Used,1,0,1,51540,Charlottesville City
2010,Charlottesville,Abduction,Not Reported,1,0,1,51540,Charlottesville City
2010,Chesterfield,Abduction,Drugs Not Used,1,0,1,51041,Chesterfield County
2010,Chesterfield,Abduction,Not Reported,1,0,1,51041,Chesterfield County
2010,Clarke,Abduction,Not Reported,1,0,1,51043,Clarke County
2010,Culpeper,Abduction,Not Reported,1,0,1,51047,Culpeper County
2010,Danville,Abduction,Not Reported,1,0,1,51590,Danville City
2010,Dickenson,Abduction,Heavy Use,2,1,1,51051,Dickenson County
2010,Fairfax,Abduction,Drugs Not Used,1,0,1,51059,Fairfax County
2010,Fairfax,Abduction,"Drugs Used, Extent Unknown",1,0,1,51059,Fairfax County
2010,Fairfax,Abduction,Heavy Use,1,0,1,51059,Fairfax County
2010,Fairfax,Abduction,Not Reported,1,0,1,51059,Fairfax County
2010,Fauquier,Abduction,Not Reported,1,0,1,51061,Fauquier County
2010,Floyd,Abduction,Not Reported,1,0,1,51063,Floyd County
2010,Franklin County,Abduction,Drugs Not Used,1,0,1,51067,Franklin County
2010,Franklin County,Abduction,Not Reported,1,0,1,51067,Franklin County
2010,Gloucester,Abduction,Not Reported,1,0,1,51073,Gloucester County
2010,Goochland,Abduction,Not Reported,1,0,1,51075,Goochland County
2010,Grayson,Abduction,Not Reported,1,0,1,51077,Grayson County
2010,Greene,Abduction,Occasional Use,1,0,1,51079,Greene County
2010,Greensville,Abduction,Not Reported,1,0,1,51081,Greensville County
2010,Hampton,Abduction,Drugs Not Used,1,0,1,51650,Hampton City
2010,Hampton,Abduction,Heavy Use,1,0,1,51650,Hampton City
2010,Hampton,Abduction,Not Reported,1,0,1,51650,Hampton City
2010,Henrico,Abduction,Drugs Not Used,2,0,2,51087,Henrico County
2010,Henrico,Abduction,Heavy Use,1,0,1,51087,Henrico County
2010,Henrico,Abduction,Not Reported,4,0,4,51087,Henrico County
2010,Henrico,Abduction,Occasional Use,1,0,1,51087,Henrico County
2010,Isle of Wight,Abduction,Not Reported,1,0,1,51093,Isle of Wight County
2010,Loudoun,Abduction,Not Reported,1,0,1,51107,Loudoun County
2010,Louisa,Abduction,Not Reported,1,0,1,51109,Louisa County
2010,Martinsville,Abduction,Not Reported,1,0,1,51690,Martinsville City
2010,Mecklenburg,Abduction,Heavy Use,1,0,1,51117,Mecklenburg County
2010,Mecklenburg,Abduction,Not Reported,1,0,1,51117,Mecklenburg County
2010,Montgomery,Abduction,Heavy Use,1,0,1,51121,Montgomery County
2010,Montgomery,Abduction,Occasional Use,1,0,1,51121,Montgomery County
2010,Newport News,Abduction,"Drugs Used, Extent Unknown",1,0,1,51700,Newport News City
2010,Newport News,Abduction,Heavy Use,1,0,1,51700,Newport News City
2010,Newport News,Abduction,Not Reported,1,0,1,51700,Newport News City
2010,Norfolk,Abduction,"Drugs Used, Extent Unknown",1,0,1,51710,Norfolk City
2010,Norfolk,Abduction,Heavy Use,1,0,1,51710,Norfolk City
2010,Norfolk,Abduction,Moderate Use,1,0,1,51710,Norfolk City
2010,Norfolk,Abduction,Not Reported,2,0,2,51710,Norfolk City
2010,Northumberland,Abduction,Heavy Use,1,0,1,51133,Northumberland County
2010,Patrick,Abduction,Not Reported,1,0,1,51141,Patrick County
2010,Petersburg,Abduction,Not Reported,1,0,1,51730,Petersburg City
2010,Portsmouth,Abduction,Not Reported,1,0,1,51740,Portsmouth City
