,Year,County,Drug,DeathByYear,Rate,GEOID
0,2007,Accomack County,Benzodiazepine,0,0,51001
1,2007,Albemarle County,Benzodiazepine,0,0,51003
2,2007,Alexandria City,Benzodiazepine,0,0,51510
3,2007,Alleghany County,Benzodiazepine,1,6.1,51005
4,2007,Amelia County,Benzodiazepine,0,0,51007
5,2007,Amherst County,Benzodiazepine,2,6.2,51009
6,2007,Appomattox County,Benzodiazepine,0,0,51011
7,2007,Arlington County,Benzodiazepine,1,0.5,51013
8,2007,Augusta County,Benzodiazepine,0,0,51015
9,2007,Bath County,Benzodiazepine,0,0,51017
10,2007,Bedford City,Benzodiazepine,0,0,51019
11,2007,Bedford County,Benzodiazepine,2,3,51019
12,2007,Bland County,Benzodiazepine,0,0,51021
13,2007,Botetourt County,Benzodiazepine,0,0,51023
14,2007,Bristol City,Benzodiazepine,2,11.4,51520
15,2007,Brunswick County,Benzodiazepine,0,0,51025
16,2007,Buchanan County,Benzodiazepine,4,16.7,51027
17,2007,Buckingham County,Benzodiazepine,0,0,51029
18,2007,Buena Vista City,Benzodiazepine,0,0,51530
19,2007,Campbell County,Benzodiazepine,2,3.8,51031
20,2007,Caroline County,Benzodiazepine,0,0,51033
21,2007,Carroll County,Benzodiazepine,0,0,51035
22,2007,Charles City County,Benzodiazepine,0,0,51036
23,2007,Charlotte County,Benzodiazepine,0,0,51037
24,2007,Charlottesville City,Benzodiazepine,0,0,51540
25,2007,Chesapeake City,Benzodiazepine,4,1.8,51550
26,2007,Chesterfield County,Benzodiazepine,1,0.3,51041
27,2007,Clarke County,Benzodiazepine,0,0,51043
28,2007,Colonial Heights City,Benzodiazepine,0,0,51570
29,2007,Covington City,Benzodiazepine,0,0,51580
30,2007,Craig County,Benzodiazepine,0,0,51045
31,2007,Culpeper County,Benzodiazepine,1,2.2,51047
32,2007,Cumberland County,Benzodiazepine,0,0,51049
33,2007,Danville City,Benzodiazepine,2,4.4,51590
34,2007,Dickenson County,Benzodiazepine,5,30.9,51051
35,2007,Dinwiddie County,Benzodiazepine,0,0,51053
36,2007,Emporia City,Benzodiazepine,0,0,51595
37,2007,Essex County,Benzodiazepine,0,0,51057
38,2007,Fairfax City,Benzodiazepine,0,0,51600
39,2007,Fairfax County,Benzodiazepine,9,0.9,51059
40,2007,Falls Church City,Benzodiazepine,0,0,51610
41,2007,Fauquier County,Benzodiazepine,0,0,51061
42,2007,Floyd County,Benzodiazepine,1,6.8,51063
43,2007,Fluvanna County,Benzodiazepine,0,0,51065
44,2007,Franklin City,Benzodiazepine,0,0,51620
45,2007,Franklin County,Benzodiazepine,1,2,51620
46,2007,Frederick County,Benzodiazepine,0,0,51069
47,2007,Fredericksburg City,Benzodiazepine,0,0,51630
48,2007,Galax City,Benzodiazepine,1,14.7,51640
49,2007,Giles County,Benzodiazepine,1,5.8,51071
50,2007,Gloucester County,Benzodiazepine,0,0,51073
51,2007,Goochland County,Benzodiazepine,0,0,51075
52,2007,Grayson County,Benzodiazepine,0,0,51077
53,2007,Greene County,Benzodiazepine,0,0,51079
54,2007,Greensville County,Benzodiazepine,0,0,51081
55,2007,Halifax County,Benzodiazepine,0,0,51083
56,2007,Hampton City,Benzodiazepine,0,0,51650
57,2007,Hanover County,Benzodiazepine,0,0,51085
58,2007,Harrisonburg City,Benzodiazepine,2,4.5,51660
59,2007,Henrico County,Benzodiazepine,3,1,51087
60,2007,Henry County,Benzodiazepine,2,3.6,51089
61,2007,Highland County,Benzodiazepine,0,0,51091
62,2007,Hopewell City,Benzodiazepine,0,0,51670
