AREA,STATE,FIPS,RATE,Year
"Bulloch, GA",GA,13031,88.3,2012
"Burke, GA",GA,13033,87.8,2012
"Butts, GA",GA,13035,94.9,2012
"Calhoun, GA",GA,13037,–,2012
"Camden, GA",GA,13039,83.7,2012
"Candler, GA",GA,13043,146.4,2012
"Carroll, GA",GA,13045,139.8,2012
"Catoosa, GA",GA,13047,185.9,2012
"Charlton, GA",GA,13049,95,2012
"Chatham, GA",GA,13051,96.8,2012
"Chattahoochee, GA",GA,13053,–,2012
"Chattooga, GA",GA,13055,159.3,2012
"Cherokee, GA",GA,13057,77.2,2012
"Clarke, GA",GA,13059,130.2,2012
"Clay, GA",GA,13061,108.8,2012
"Clayton, GA",GA,13063,54.5,2012
"Clinch, GA",GA,13065,143.2,2012
"Cobb, GA",GA,13067,73,2012
"Coffee, GA",GA,13069,176.9,2012
"Colquitt, GA",GA,13071,79.6,2012
"Columbia, GA",GA,13073,93.2,2012
"Cook, GA",GA,13075,121.1,2012
"Coweta, GA",GA,13077,94.5,2012
"Crawford, GA",GA,13079,–,2012
"Crisp, GA",GA,13081,174.7,2012
"Dade, GA",GA,13083,112.7,2012
"Dawson, GA",GA,13085,170.1,2012
"Decatur, GA",GA,13087,148.1,2012
"DeKalb, GA",GA,13089,49.4,2012
"Dodge, GA",GA,13091,107.9,2012
"Dooly, GA",GA,13093,–,2012
"Dougherty, GA",GA,13095,132.8,2012
"Douglas, GA",GA,13097,104.7,2012
"Early, GA",GA,13099,104.3,2012
"Echols, GA",GA,13101,–,2012
"Effingham, GA",GA,13103,77.9,2012
"Elbert, GA",GA,13105,136.8,2012
"Emanuel, GA",GA,13107,116,2012
"Evans, GA",GA,13109,169.2,2012
"Fannin, GA",GA,13111,140.2,2012
"Fayette, GA",GA,13113,86.1,2012
"Floyd, GA",GA,13115,176.4,2012
"Forsyth, GA",GA,13117,65.5,2012
"Franklin, GA",GA,13119,163.9,2012
"Fulton, GA",GA,13121,54.1,2012
"Gilmer, GA",GA,13123,154.2,2012
"Glascock, GA",GA,13125,–,2012
"Glynn, GA",GA,13127,118.8,2012
"Gordon, GA",GA,13129,154.5,2012
"Grady, GA",GA,13131,74.8,2012
"Greene, GA",GA,13133,133.4,2012
"Gwinnett, GA",GA,13135,55,2012
"Habersham, GA",GA,13137,127.4,2012
"Hall, GA",GA,13139,103.9,2012
"Hancock, GA",GA,13141,53.7,2012
"Haralson, GA",GA,13143,241.9,2012
"Harris, GA",GA,13145,7.7,2012
"Hart, GA",GA,13147,124,2012
"Heard, GA",GA,13149,–,2012
"Henry, GA",GA,13151,89.5,2012
"Houston, GA",GA,13153,114.6,2012
"Irwin, GA",GA,13155,57.9,2012
"Jackson, GA",GA,13157,120.9,2012
"Jasper, GA",GA,13159,57.3,2012
"Jeff Davis, GA",GA,13161,115,2012
"Jefferson, GA",GA,13163,133.2,2012
"Jenkins, GA",GA,13165,36,2012
"Johnson, GA",GA,13167,39.6,2012
"Jones, GA",GA,13169,48.3,2012
"Lamar, GA",GA,13171,97.2,2012
"Lanier, GA",GA,13173,–,2012
"Laurens, GA",GA,13175,169,2012
"Lee, GA",GA,13177,49.7,2012
"Liberty, GA",GA,13179,59.3,2012
"Lincoln, GA",GA,13181,–,2012
"Long, GA",GA,13183,–,2012
"Lowndes, GA",GA,13185,120.7,2012
"Lumpkin, GA",GA,13187,90.8,2012
"McDuffie, GA",GA,13189,170.8,2012
"McIntosh, GA",GA,13191,98.9,2012
"Macon, GA",GA,13193,60,2012
