"","statecode","fipscode","county","opioid"
"1",1,1001,"Autauga County",129.6
"2",1,1003,"Baldwin County",123.8
"3",1,1005,"Barbour County",92.7
"4",1,1007,"Bibb County",97.2
"5",1,1009,"Blount County",56.9
"6",1,1011,"Bullock County",19.8
"7",1,1013,"Butler County",135.4
"8",1,1015,"Calhoun County",161
"9",1,1017,"Chambers County",140.6
"10",1,1019,"Cherokee County",157.7
"11",1,1021,"Chilton County",120.4
"12",1,1023,"Choctaw County",97.8
"13",1,1025,"Clarke County",164.7
"14",1,1027,"Clay County",133.7
"15",1,1029,"Cleburne County",44.2
"16",1,1031,"Coffee County",129.5
"17",1,1033,"Colbert County",208.1
"18",1,1035,"Conecuh County",93.9
"19",1,1037,"Coosa County",25.4
"20",1,1039,"Covington County",170.9
"21",1,1041,"Crenshaw County",90.9
"22",1,1043,"Cullman County",166.2
"23",1,1045,"Dale County",78.7
"24",1,1047,"Dallas County",117.8
"25",1,1049,"DeKalb County",114.4
"26",1,1051,"Elmore County",117.3
"27",1,1053,"Escambia County",173.9
"28",1,1055,"Etowah County",156.8
"29",1,1057,"Fayette County",133.3
"30",1,1059,"Franklin County",223.3
"31",1,1061,"Geneva County",50.2
"32",1,1063,"Greene County",79.8
"33",1,1065,"Hale County",97.7
"34",1,1067,"Henry County",30.7
"35",1,1069,"Houston County",142.8
"36",1,1071,"Jackson County",144.6
"37",1,1073,"Jefferson County",116.7
"38",1,1075,"Lamar County",104.7
"39",1,1077,"Lauderdale County",127.5
"40",1,1079,"Lawrence County",114.1
"41",1,1081,"Lee County",64.5
"42",1,1083,"Limestone County",76.5
"43",1,1085,"Lowndes County",0.7
"44",1,1087,"Macon County",60.1
"45",1,1089,"Madison County",113.7
"46",1,1091,"Marengo County",131.7
"47",1,1093,"Marion County",182.1
"48",1,1095,"Marshall County",191.1
"49",1,1097,"Mobile County",133.5
"50",1,1099,"Monroe County",135.7
"51",1,1101,"Montgomery County",88
"52",1,1103,"Morgan County",135.4
"53",1,1105,"Perry County",3.6
"54",1,1107,"Pickens County",81.5
"55",1,1109,"Pike County",105.5
"56",1,1111,"Randolph County",108.8
"57",1,1113,"Russell County",110.6
"58",1,1115,"St. Clair County",114.4
"59",1,1117,"Shelby County",100.7
"60",1,1119,"Sumter County",40.5
"61",1,1121,"Talladega County",138.9
"62",1,1123,"Tallapoosa County",108
"63",1,1125,"Tuscaloosa County",111.2
"64",1,1127,"Walker County",235.4
"65",1,1129,"Washington County",44.3
"66",1,1131,"Wilcox County",66.4
"67",1,1133,"Winston County",172.5
"68",2,2013,"Aleutians East Borough",0
"69",2,2016,"Aleutians West Census Area",0
"70",2,2020,"Anchorage Borough",66.3
"71",2,2050,"Bethel Census Area",0
"72",2,2060,"Bristol Bay Borough",0
"73",2,2068,"Denali Borough",0
"74",2,2070,"Dillingham Census Area",0
"75",2,2090,"Fairbanks North Star Borough",48.4
"76",2,2100,"Haines Borough",0
"77",2,2110,"Juneau Borough",79.8
"78",2,2122,"Kenai Peninsula Borough",97.9
"79",2,2130,"Ketchikan Gateway Borough",91.5
"80",2,2150,"Kodiak Island Borough",33.6
"81",2,2164,"Lake and Peninsula Borough",0
"82",2,2170,"Matanuska-Susitna Borough",76.4
"83",2,2180,"Nome Census Area",0
"84",2,2185,"North Slope Borough",0
"85",2,2188,"Northwest Arctic Borough",0
"86",2,2220,"Sitka Borough",9.5
"87",2,2240,"Southeast Fairbanks Census Area",0
"88",2,2261,"Valdez-Cordova Census Area",45
"89",2,2282,"Yakutat Borough",0
"90",2,2290,"Yukon-Koyukuk Census Area",0
"91",4,4001,"Apache County",18.5
"92",4,4003,"Cochise County",79
"93",4,4005,"Coconino County",51.4
"94",4,4007,"Gila County",110
"95",4,4009,"Graham County",84.1
"96",4,4011,"Greenlee County",0
"97",4,4012,"La Paz County",78.3
"98",4,4013,"Maricopa County",68.2
"99",4,4015,"Mohave County",127.5
"100",4,4017,"Navajo County",67.5
"101",4,4019,"Pima County",74
"102",4,4021,"Pinal County",58.3
"103",4,4023,"Santa Cruz County",29.3
"104",4,4025,"Yavapai County",97.8
"105",4,4027,"Yuma County",56.6
"106",5,5001,"Arkansas County",129.1
"107",5,5003,"Ashley County",115.8
"108",5,5005,"Baxter County",142.7
"109",5,5007,"Benton County",87.8
"110",5,5009,"Boone County",156.4
"111",5,5011,"Bradley County",116.5
"112",5,5013,"Calhoun County",83.6
"113",5,5015,"Carroll County",89.2
"114",5,5017,"Chicot County",77.7
"115",5,5019,"Clark County",100.9
"116",5,5021,"Clay County",134.6
"117",5,5023,"Cleburne County",115.9
"118",5,5025,"Cleveland County",1.1
"119",5,5027,"Columbia County",106.6
"120",5,5029,"Conway County",131.7
"121",5,5031,"Craighead County",157.3
"122",5,5033,"Crawford County",158
"123",5,5035,"Crittenden County",108.7
"124",5,5037,"Cross County",120.3
"125",5,5039,"Dallas County",101.6
"126",5,5041,"Desha County",143.8
"127",5,5043,"Drew County",131.8
"128",5,5045,"Faulkner County",97.9
"129",5,5047,"Franklin County",22.2
"130",5,5049,"Fulton County",116.7
"131",5,5051,"Garland County",176.3
"132",5,5053,"Grant County",77.5
"133",5,5055,"Greene County",177.8
"134",5,5057,"Hempstead County",115.7
"135",5,5059,"Hot Spring County",105.3
"136",5,5061,"Howard County",161.6
"137",5,5063,"Independence County",159.8
"138",5,5065,"Izard County",104
"139",5,5067,"Jackson County",150.4
"140",5,5069,"Jefferson County",108.6
"141",5,5071,"Johnson County",127.4
"142",5,5073,"Lafayette County",111.2
"143",5,5075,"Lawrence County",37.5
"144",5,5077,"Lee County",68.2
"145",5,5079,"Lincoln County",67.6
"146",5,5081,"Little River County",163.5
"147",5,5083,"Logan County",41.2
"148",5,5085,"Lonoke County",101.5
"149",5,5087,"Madison County",79.3
"150",5,5089,"Marion County",83.3
"151",5,5091,"Miller County",109.3
"152",5,5093,"Mississippi County",138.6
"153",5,5095,"Monroe County",92.6
"154",5,5097,"Montgomery County",93.4
"155",5,5099,"Nevada County",0
"156",5,5101,"Newton County",0.8
"157",5,5103,"Ouachita County",143.4
"158",5,5105,"Perry County",51.2
"159",5,5107,"Phillips County",159.8
"160",5,5109,"Pike County",97.6
"161",5,5111,"Poinsett County",120.7
"162",5,5113,"Polk County",117.8
"163",5,5115,"Pope County",132.6
"164",5,5117,"Prairie County",82.1
"165",5,5119,"Pulaski County",105.2
"166",5,5121,"Randolph County",114.2
"167",5,5123,"St. Francis County",94.8
"168",5,5125,"Saline County",97.4
"169",5,5127,"Scott County",124.7
"170",5,5129,"Searcy County",82.6
"171",5,5131,"Sebastian County",169
"172",5,5133,"Sevier County",65.5
"173",5,5135,"Sharp County",138.5
"174",5,5137,"Stone County",152.7
"175",5,5139,"Union County",131.5
"176",5,5141,"Van Buren County",103.1
"177",5,5143,"Washington County",98.5
"178",5,5145,"White County",123.5
"179",5,5147,"Woodruff County",3.8
"180",5,5149,"Yell County",66.9
"181",6,6001,"Alameda County",31.1
"182",6,6003,"Alpine County",0
"183",6,6005,"Amador County",112.3
"184",6,6007,"Butte County",125.4
"185",6,6009,"Calaveras County",83.5
"186",6,6011,"Colusa County",45.2
"187",6,6013,"Contra Costa County",40.8
"188",6,6015,"Del Norte County",133.7
"189",6,6017,"El Dorado County",63.7
"190",6,6019,"Fresno County",57.8
"191",6,6021,"Glenn County",85
"192",6,6023,"Humboldt County",92.2
"193",6,6025,"Imperial County",52.4
"194",6,6027,"Inyo County",61.3
"195",6,6029,"Kern County",60.3
"196",6,6031,"Kings County",64.8
"197",6,6033,"Lake County",116.4
"198",6,6035,"Lassen County",81.7
"199",6,6037,"Los Angeles County",33.4
"200",6,6039,"Madera County",49.7
"201",6,6041,"Marin County",36.7
"202",6,6043,"Mariposa County",67.6
"203",6,6045,"Mendocino County",105.1
"204",6,6047,"Merced County",65.3
"205",6,6049,"Modoc County",96.4
"206",6,6051,"Mono County",54.4
"207",6,6053,"Monterey County",50.6
"208",6,6055,"Napa County",40.4
"209",6,6057,"Nevada County",83
"210",6,6059,"Orange County",42.1
"211",6,6061,"Placer County",62.9
"212",6,6063,"Plumas County",85.5
"213",6,6065,"Riverside County",49.4
"214",6,6067,"Sacramento County",50.3
"215",6,6069,"San Benito County",43.7
"216",6,6071,"San Bernardino County",52.2
"217",6,6073,"San Diego County",39.2
"218",6,6075,"San Francisco County",32.2
"219",6,6077,"San Joaquin County",54.5
"220",6,6079,"San Luis Obispo County",71.6
"221",6,6081,"San Mateo County",31.5
"222",6,6083,"Santa Barbara County",54.7
"223",6,6085,"Santa Clara County",24.2
"224",6,6087,"Santa Cruz County",57
"225",6,6089,"Shasta County",118
"226",6,6091,"Sierra County",21.3
