,NewCommitMoYr,GenderID,MostSeriousOffenseID,CommittingCourtID,DrugUsageID,NewCommit_sum,MSO,Gender,Court,DrugUsage,Commit_Date,Year
0,2010-07-01,12,2,15,0,1,Homicide—1st,Male,Brunswick,Drugs Not Used,2010-07-01,2010
1,2010-07-01,12,2,25,5,1,Homicide—1st,Male,Chesapeake,"Drugs Used, Extent Unknown",2010-07-01,2010
2,2010-07-01,12,2,37,3,1,Homicide—1st,Male,Fauquier,Heavy Use,2010-07-01,2010
3,2010-07-01,12,2,48,5,1,Homicide—1st,Male,Greensville,"Drugs Used, Extent Unknown",2010-07-01,2010
4,2010-07-01,12,2,97,9,1,Homicide—1st,Male,Rockingham,Not Reported,2010-07-01,2010
5,2010-07-01,12,2,103,0,1,Homicide—1st,Male,Southampton,Drugs Not Used,2010-07-01,2010
6,2010-07-01,12,3,2,0,1,Manslaughter,Male,Albemarle,Drugs Not Used,2010-07-01,2010
7,2010-07-01,12,3,16,2,1,Manslaughter,Male,Buchanan,Moderate Use,2010-07-01,2010
8,2010-07-01,12,3,16,3,1,Manslaughter,Male,Buchanan,Heavy Use,2010-07-01,2010
9,2010-07-01,12,3,74,9,2,Manslaughter,Male,Newport News,Not Reported,2010-07-01,2010
10,2010-07-01,12,3,84,3,1,Manslaughter,Male,Portsmouth,Heavy Use,2010-07-01,2010
11,2010-07-01,12,3,88,2,1,Manslaughter,Male,Prince William,Moderate Use,2010-07-01,2010
12,2010-07-01,12,3,88,9,1,Manslaughter,Male,Prince William,Not Reported,2010-07-01,2010
13,2010-07-01,12,3,93,9,1,Manslaughter,Male,Richmond City,Not Reported,2010-07-01,2010
14,2010-07-01,12,3,98,9,1,Manslaughter,Male,Russell,Not Reported,2010-07-01,2010
15,2010-07-01,12,4,1,2,1,Abduction,Male,Accomack,Moderate Use,2010-07-01,2010
16,2010-07-01,12,4,5,9,1,Abduction,Male,Amelia,Not Reported,2010-07-01,2010
17,2010-07-01,12,4,8,9,1,Abduction,Male,Arlington,Not Reported,2010-07-01,2010
18,2010-07-01,12,4,24,0,1,Abduction,Male,Charlottesville,Drugs Not Used,2010-07-01,2010
19,2010-07-01,12,4,33,3,1,Abduction,Male,Dickenson,Heavy Use,2010-07-01,2010
20,2010-07-01,12,4,40,0,1,Abduction,Male,Franklin County,Drugs Not Used,2010-07-01,2010
21,2010-07-01,12,4,50,0,2,Abduction,Male,Hampton,Drugs Not Used,2010-07-01,2010
22,2010-07-01,12,4,50,3,1,Abduction,Male,Hampton,Heavy Use,2010-07-01,2010
23,2010-07-01,12,4,52,9,2,Abduction,Male,Henrico,Not Reported,2010-07-01,2010
24,2010-07-01,12,4,63,9,2,Abduction,Male,Louisa,Not Reported,2010-07-01,2010
25,2010-07-01,12,4,67,9,1,Abduction,Male,Martinsville,Not Reported,2010-07-01,2010
26,2010-07-01,12,4,75,3,1,Abduction,Male,Norfolk,Heavy Use,2010-07-01,2010
27,2010-07-01,12,4,75,9,1,Abduction,Male,Norfolk,Not Reported,2010-07-01,2010
28,2010-07-01,12,4,87,0,1,Abduction,Male,Prince George,Drugs Not Used,2010-07-01,2010
29,2010-07-01,12,4,88,0,2,Abduction,Male,Prince William,Drugs Not Used,2010-07-01,2010
30,2010-07-01,12,4,100,9,1,Abduction,Male,Scott,Not Reported,2010-07-01,2010
31,2010-07-01,12,4,104,3,1,Abduction,Male,Spotsylvania,Heavy Use,2010-07-01,2010
32,2010-07-01,12,4,104,9,1,Abduction,Male,Spotsylvania,Not Reported,2010-07-01,2010
33,2010-07-01,12,4,106,9,1,Abduction,Male,Staunton,Not Reported,2010-07-01,2010
34,2010-07-01,12,4,107,1,1,Abduction,Male,Suffolk,Occasional Use,2010-07-01,2010
35,2010-07-01,12,4,107,3,2,Abduction,Male,Suffolk,Heavy Use,2010-07-01,2010
36,2010-07-01,12,4,107,9,1,Abduction,Male,Suffolk,Not Reported,2010-07-01,2010
37,2010-07-01,12,4,111,2,1,Abduction,Male,Virginia Beach,Moderate Use,2010-07-01,2010
38,2010-07-01,12,4,111,3,2,Abduction,Male,Virginia Beach,Heavy Use,2010-07-01,2010
39,2010-07-01,12,5,8,9,1,Rape/Sexual Assault,Male,Arlington,Not Reported,2010-07-01,2010
40,2010-07-01,12,5,9,9,2,Rape/Sexual Assault,Male,Augusta,Not Reported,2010-07-01,2010
41,2010-07-01,12,5,11,0,1,Rape/Sexual Assault,Male,Bedford,Drugs Not Used,2010-07-01,2010
42,2010-07-01,12,5,11,9,1,Rape/Sexual Assault,Male,Bedford,Not Reported,2010-07-01,2010
43,2010-07-01,12,5,25,0,1,Rape/Sexual Assault,Male,Chesapeake,Drugs Not Used,2010-07-01,2010
44,2010-07-01,12,5,25,9,2,Rape/Sexual Assault,Male,Chesapeake,Not Reported,2010-07-01,2010
45,2010-07-01,12,5,31,9,1,Rape/Sexual Assault,Male,Cumberland,Not Reported,2010-07-01,2010
46,2010-07-01,12,5,33,9,1,Rape/Sexual Assault,Male,Dickenson,Not Reported,2010-07-01,2010
47,2010-07-01,12,5,36,0,3,Rape/Sexual Assault,Male,Fairfax,Drugs Not Used,2010-07-01,2010
48,2010-07-01,12,5,36,9,1,Rape/Sexual Assault,Male,Fairfax,Not Reported,2010-07-01,2010
49,2010-07-01,12,5,37,5,1,Rape/Sexual Assault,Male,Fauquier,"Drugs Used, Extent Unknown",2010-07-01,2010
50,2010-07-01,12,5,40,9,1,Rape/Sexual Assault,Male,Franklin County,Not Reported,2010-07-01,2010
51,2010-07-01,12,5,49,9,1,Rape/Sexual Assault,Male,Halifax,Not Reported,2010-07-01,2010
52,2010-07-01,12,5,50,0,1,Rape/Sexual Assault,Male,Hampton,Drugs Not Used,2010-07-01,2010
53,2010-07-01,12,5,50,9,1,Rape/Sexual Assault,Male,Hampton,Not Reported,2010-07-01,2010
54,2010-07-01,12,5,51,9,1,Rape/Sexual Assault,Male,Hanover,Not Reported,2010-07-01,2010
55,2010-07-01,12,5,52,9,1,Rape/Sexual Assault,Male,Henrico,Not Reported,2010-07-01,2010
56,2010-07-01,12,5,61,9,1,Rape/Sexual Assault,Male,Lee,Not Reported,2010-07-01,2010
57,2010-07-01,12,5,74,5,1,Rape/Sexual Assault,Male,Newport News,"Drugs Used, Extent Unknown",2010-07-01,2010
58,2010-07-01,12,5,74,9,1,Rape/Sexual Assault,Male,Newport News,Not Reported,2010-07-01,2010
59,2010-07-01,12,5,75,0,1,Rape/Sexual Assault,Male,Norfolk,Drugs Not Used,2010-07-01,2010
60,2010-07-01,12,5,75,1,1,Rape/Sexual Assault,Male,Norfolk,Occasional Use,2010-07-01,2010
61,2010-07-01,12,5,75,2,1,Rape/Sexual Assault,Male,Norfolk,Moderate Use,2010-07-01,2010
62,2010-07-01,12,5,75,5,3,Rape/Sexual Assault,Male,Norfolk,"Drugs Used, Extent Unknown",2010-07-01,2010
63,2010-07-01,12,5,75,9,2,Rape/Sexual Assault,Male,Norfolk,Not Reported,2010-07-01,2010
64,2010-07-01,12,5,79,0,1,Rape/Sexual Assault,Male,Orange,Drugs Not Used,2010-07-01,2010
65,2010-07-01,12,5,82,9,2,Rape/Sexual Assault,Male,Petersburg,Not Reported,2010-07-01,2010
66,2010-07-01,12,5,88,0,1,Rape/Sexual Assault,Male,Prince William,Drugs Not Used,2010-07-01,2010
67,2010-07-01,12,5,88,3,1,Rape/Sexual Assault,Male,Prince William,Heavy Use,2010-07-01,2010
68,2010-07-01,12,5,93,3,1,Rape/Sexual Assault,Male,Richmond City,Heavy Use,2010-07-01,2010
69,2010-07-01,12,5,95,9,1,Rape/Sexual Assault,Male,Roanoke City,Not Reported,2010-07-01,2010
70,2010-07-01,12,5,99,0,1,Rape/Sexual Assault,Male,Salem,Drugs Not Used,2010-07-01,2010
71,2010-07-01,12,5,105,1,1,Rape/Sexual Assault,Male,Stafford,Occasional Use,2010-07-01,2010
72,2010-07-01,12,5,105,3,1,Rape/Sexual Assault,Male,Stafford,Heavy Use,2010-07-01,2010
73,2010-07-01,12,5,105,9,1,Rape/Sexual Assault,Male,Stafford,Not Reported,2010-07-01,2010
74,2010-07-01,12,5,111,9,2,Rape/Sexual Assault,Male,Virginia Beach,Not Reported,2010-07-01,2010
75,2010-07-01,12,6,8,3,1,Robbery,Male,Arlington,Heavy Use,2010-07-01,2010
76,2010-07-01,12,6,9,9,1,Robbery,Male,Augusta,Not Reported,2010-07-01,2010
77,2010-07-01,12,6,11,0,1,Robbery,Male,Bedford,Drugs Not Used,2010-07-01,2010
78,2010-07-01,12,6,14,9,1,Robbery,Male,Bristol,Not Reported,2010-07-01,2010
79,2010-07-01,12,6,25,0,1,Robbery,Male,Chesapeake,Drugs Not Used,2010-07-01,2010
80,2010-07-01,12,6,25,1,1,Robbery,Male,Chesapeake,Occasional Use,2010-07-01,2010
81,2010-07-01,12,6,25,2,2,Robbery,Male,Chesapeake,Moderate Use,2010-07-01,2010
82,2010-07-01,12,6,25,3,1,Robbery,Male,Chesapeake,Heavy Use,2010-07-01,2010
83,2010-07-01,12,6,25,9,1,Robbery,Male,Chesapeake,Not Reported,2010-07-01,2010
84,2010-07-01,12,6,26,0,1,Robbery,Male,Chesterfield,Drugs Not Used,2010-07-01,2010
85,2010-07-01,12,6,26,2,1,Robbery,Male,Chesterfield,Moderate Use,2010-07-01,2010
86,2010-07-01,12,6,26,3,1,Robbery,Male,Chesterfield,Heavy Use,2010-07-01,2010
87,2010-07-01,12,6,26,9,1,Robbery,Male,Chesterfield,Not Reported,2010-07-01,2010
88,2010-07-01,12,6,30,3,1,Robbery,Male,Culpeper,Heavy Use,2010-07-01,2010
89,2010-07-01,12,6,32,5,1,Robbery,Male,Danville,"Drugs Used, Extent Unknown",2010-07-01,2010
90,2010-07-01,12,6,32,9,1,Robbery,Male,Danville,Not Reported,2010-07-01,2010
91,2010-07-01,12,6,34,9,1,Robbery,Male,Dinwiddie,Not Reported,2010-07-01,2010
92,2010-07-01,12,6,36,0,1,Robbery,Male,Fairfax,Drugs Not Used,2010-07-01,2010
93,2010-07-01,12,6,36,1,2,Robbery,Male,Fairfax,Occasional Use,2010-07-01,2010
94,2010-07-01,12,6,36,3,2,Robbery,Male,Fairfax,Heavy Use,2010-07-01,2010
95,2010-07-01,12,6,37,3,1,Robbery,Male,Fauquier,Heavy Use,2010-07-01,2010
96,2010-07-01,12,6,41,9,1,Robbery,Male,Frederick,Not Reported,2010-07-01,2010
97,2010-07-01,12,6,44,1,1,Robbery,Male,Gloucester,Occasional Use,2010-07-01,2010
98,2010-07-01,12,6,50,0,1,Robbery,Male,Hampton,Drugs Not Used,2010-07-01,2010
99,2010-07-01,12,6,50,1,1,Robbery,Male,Hampton,Occasional Use,2010-07-01,2010
100,2010-07-01,12,6,50,2,1,Robbery,Male,Hampton,Moderate Use,2010-07-01,2010
101,2010-07-01,12,6,50,3,1,Robbery,Male,Hampton,Heavy Use,2010-07-01,2010
102,2010-07-01,12,6,50,9,1,Robbery,Male,Hampton,Not Reported,2010-07-01,2010
103,2010-07-01,12,6,52,0,1,Robbery,Male,Henrico,Drugs Not Used,2010-07-01,2010
104,2010-07-01,12,6,52,1,1,Robbery,Male,Henrico,Occasional Use,2010-07-01,2010
105,2010-07-01,12,6,52,2,1,Robbery,Male,Henrico,Moderate Use,2010-07-01,2010
106,2010-07-01,12,6,52,3,1,Robbery,Male,Henrico,Heavy Use,2010-07-01,2010
107,2010-07-01,12,6,52,9,2,Robbery,Male,Henrico,Not Reported,2010-07-01,2010
108,2010-07-01,12,6,53,2,1,Robbery,Male,Henry,Moderate Use,2010-07-01,2010
109,2010-07-01,12,6,55,0,1,Robbery,Male,Hopewell,Drugs Not Used,2010-07-01,2010
110,2010-07-01,12,6,62,3,3,Robbery,Male,Loudoun,Heavy Use,2010-07-01,2010
111,2010-07-01,12,6,65,2,1,Robbery,Male,Lynchburg,Moderate Use,2010-07-01,2010
112,2010-07-01,12,6,67,1,2,Robbery,Male,Martinsville,Occasional Use,2010-07-01,2010
113,2010-07-01,12,6,69,3,1,Robbery,Male,Mecklenburg,Heavy Use,2010-07-01,2010
114,2010-07-01,12,6,74,0,2,Robbery,Male,Newport News,Drugs Not Used,2010-07-01,2010
115,2010-07-01,12,6,74,3,2,Robbery,Male,Newport News,Heavy Use,2010-07-01,2010
116,2010-07-01,12,6,75,3,3,Robbery,Male,Norfolk,Heavy Use,2010-07-01,2010
117,2010-07-01,12,6,75,9,1,Robbery,Male,Norfolk,Not Reported,2010-07-01,2010
118,2010-07-01,12,6,82,2,1,Robbery,Male,Petersburg,Moderate Use,2010-07-01,2010
119,2010-07-01,12,6,84,0,1,Robbery,Male,Portsmouth,Drugs Not Used,2010-07-01,2010
120,2010-07-01,12,6,84,1,1,Robbery,Male,Portsmouth,Occasional Use,2010-07-01,2010
121,2010-07-01,12,6,84,9,1,Robbery,Male,Portsmouth,Not Reported,2010-07-01,2010
122,2010-07-01,12,6,87,9,1,Robbery,Male,Prince George,Not Reported,2010-07-01,2010
123,2010-07-01,12,6,88,3,1,Robbery,Male,Prince William,Heavy Use,2010-07-01,2010
124,2010-07-01,12,6,88,9,1,Robbery,Male,Prince William,Not Reported,2010-07-01,2010
125,2010-07-01,12,6,93,3,2,Robbery,Male,Richmond City,Heavy Use,2010-07-01,2010
126,2010-07-01,12,6,93,9,4,Robbery,Male,Richmond City,Not Reported,2010-07-01,2010
127,2010-07-01,12,6,95,3,1,Robbery,Male,Roanoke City,Heavy Use,2010-07-01,2010
128,2010-07-01,12,6,99,2,1,Robbery,Male,Salem,Moderate Use,2010-07-01,2010
129,2010-07-01,12,6,104,2,2,Robbery,Male,Spotsylvania,Moderate Use,2010-07-01,2010
130,2010-07-01,12,6,105,1,1,Robbery,Male,Stafford,Occasional Use,2010-07-01,2010
131,2010-07-01,12,6,105,3,1,Robbery,Male,Stafford,Heavy Use,2010-07-01,2010
132,2010-07-01,12,6,105,9,1,Robbery,Male,Stafford,Not Reported,2010-07-01,2010
133,2010-07-01,12,6,107,3,1,Robbery,Male,Suffolk,Heavy Use,2010-07-01,2010
134,2010-07-01,12,6,111,1,1,Robbery,Male,Virginia Beach,Occasional Use,2010-07-01,2010
135,2010-07-01,12,6,111,3,5,Robbery,Male,Virginia Beach,Heavy Use,2010-07-01,2010
136,2010-07-01,12,6,111,9,1,Robbery,Male,Virginia Beach,Not Reported,2010-07-01,2010
137,2010-07-01,12,6,116,2,1,Robbery,Male,Williamsburg,Moderate Use,2010-07-01,2010
138,2010-07-01,12,7,1,9,1,Assault,Male,Accomack,Not Reported,2010-07-01,2010
139,2010-07-01,12,7,8,1,1,Assault,Male,Arlington,Occasional Use,2010-07-01,2010
140,2010-07-01,12,7,11,1,1,Assault,Male,Bedford,Occasional Use,2010-07-01,2010
141,2010-07-01,12,7,11,9,1,Assault,Male,Bedford,Not Reported,2010-07-01,2010
142,2010-07-01,12,7,13,9,1,Assault,Male,Botetourt,Not Reported,2010-07-01,2010
143,2010-07-01,12,7,14,9,1,Assault,Male,Bristol,Not Reported,2010-07-01,2010
144,2010-07-01,12,7,19,1,1,Assault,Male,Campbell,Occasional Use,2010-07-01,2010
145,2010-07-01,12,7,19,2,1,Assault,Male,Campbell,Moderate Use,2010-07-01,2010
146,2010-07-01,12,7,19,3,1,Assault,Male,Campbell,Heavy Use,2010-07-01,2010
147,2010-07-01,12,7,24,3,1,Assault,Male,Charlottesville,Heavy Use,2010-07-01,2010
148,2010-07-01,12,7,25,9,2,Assault,Male,Chesapeake,Not Reported,2010-07-01,2010
149,2010-07-01,12,7,26,1,1,Assault,Male,Chesterfield,Occasional Use,2010-07-01,2010
150,2010-07-01,12,7,28,2,1,Assault,Male,Colonial Heights,Moderate Use,2010-07-01,2010
151,2010-07-01,12,7,32,3,1,Assault,Male,Danville,Heavy Use,2010-07-01,2010
152,2010-07-01,12,7,34,3,1,Assault,Male,Dinwiddie,Heavy Use,2010-07-01,2010
153,2010-07-01,12,7,36,0,1,Assault,Male,Fairfax,Drugs Not Used,2010-07-01,2010
154,2010-07-01,12,7,36,2,1,Assault,Male,Fairfax,Moderate Use,2010-07-01,2010
155,2010-07-01,12,7,36,3,1,Assault,Male,Fairfax,Heavy Use,2010-07-01,2010
156,2010-07-01,12,7,36,5,1,Assault,Male,Fairfax,"Drugs Used, Extent Unknown",2010-07-01,2010
157,2010-07-01,12,7,42,9,1,Assault,Male,Fredericksburg,Not Reported,2010-07-01,2010
158,2010-07-01,12,7,48,2,1,Assault,Male,Greensville,Moderate Use,2010-07-01,2010
159,2010-07-01,12,7,48,9,2,Assault,Male,Greensville,Not Reported,2010-07-01,2010
160,2010-07-01,12,7,52,1,1,Assault,Male,Henrico,Occasional Use,2010-07-01,2010
161,2010-07-01,12,7,52,2,1,Assault,Male,Henrico,Moderate Use,2010-07-01,2010
162,2010-07-01,12,7,52,9,1,Assault,Male,Henrico,Not Reported,2010-07-01,2010
163,2010-07-01,12,7,55,0,1,Assault,Male,Hopewell,Drugs Not Used,2010-07-01,2010
164,2010-07-01,12,7,56,1,1,Assault,Male,Isle of Wight,Occasional Use,2010-07-01,2010
165,2010-07-01,12,7,61,3,1,Assault,Male,Lee,Heavy Use,2010-07-01,2010
166,2010-07-01,12,7,62,3,1,Assault,Male,Loudoun,Heavy Use,2010-07-01,2010
167,2010-07-01,12,7,63,1,1,Assault,Male,Louisa,Occasional Use,2010-07-01,2010
168,2010-07-01,12,7,63,9,1,Assault,Male,Louisa,Not Reported,2010-07-01,2010
169,2010-07-01,12,7,65,9,1,Assault,Male,Lynchburg,Not Reported,2010-07-01,2010
170,2010-07-01,12,7,66,9,1,Assault,Male,Madison,Not Reported,2010-07-01,2010
171,2010-07-01,12,7,67,3,1,Assault,Male,Martinsville,Heavy Use,2010-07-01,2010
172,2010-07-01,12,7,69,2,1,Assault,Male,Mecklenburg,Moderate Use,2010-07-01,2010
173,2010-07-01,12,7,69,9,1,Assault,Male,Mecklenburg,Not Reported,2010-07-01,2010
174,2010-07-01,12,7,75,0,1,Assault,Male,Norfolk,Drugs Not Used,2010-07-01,2010
175,2010-07-01,12,7,75,1,1,Assault,Male,Norfolk,Occasional Use,2010-07-01,2010
176,2010-07-01,12,7,75,3,2,Assault,Male,Norfolk,Heavy Use,2010-07-01,2010
177,2010-07-01,12,7,75,5,1,Assault,Male,Norfolk,"Drugs Used, Extent Unknown",2010-07-01,2010
178,2010-07-01,12,7,75,9,2,Assault,Male,Norfolk,Not Reported,2010-07-01,2010
179,2010-07-01,12,7,80,3,1,Assault,Male,Page,Heavy Use,2010-07-01,2010
180,2010-07-01,12,7,82,3,1,Assault,Male,Petersburg,Heavy Use,2010-07-01,2010
181,2010-07-01,12,7,83,3,1,Assault,Male,Pittsylvania,Heavy Use,2010-07-01,2010
182,2010-07-01,12,7,84,3,1,Assault,Male,Portsmouth,Heavy Use,2010-07-01,2010
183,2010-07-01,12,7,84,9,1,Assault,Male,Portsmouth,Not Reported,2010-07-01,2010
184,2010-07-01,12,7,87,2,2,Assault,Male,Prince George,Moderate Use,2010-07-01,2010
185,2010-07-01,12,7,88,9,1,Assault,Male,Prince William,Not Reported,2010-07-01,2010
186,2010-07-01,12,7,93,0,1,Assault,Male,Richmond City,Drugs Not Used,2010-07-01,2010
187,2010-07-01,12,7,93,2,2,Assault,Male,Richmond City,Moderate Use,2010-07-01,2010
188,2010-07-01,12,7,93,3,1,Assault,Male,Richmond City,Heavy Use,2010-07-01,2010
189,2010-07-01,12,7,93,9,3,Assault,Male,Richmond City,Not Reported,2010-07-01,2010
190,2010-07-01,12,7,94,0,2,Assault,Male,Roanoke County,Drugs Not Used,2010-07-01,2010
191,2010-07-01,12,7,94,1,1,Assault,Male,Roanoke County,Occasional Use,2010-07-01,2010
192,2010-07-01,12,7,94,2,1,Assault,Male,Roanoke County,Moderate Use,2010-07-01,2010
193,2010-07-01,12,7,95,9,1,Assault,Male,Roanoke City,Not Reported,2010-07-01,2010
194,2010-07-01,12,7,96,3,1,Assault,Male,Rockbridge,Heavy Use,2010-07-01,2010
195,2010-07-01,12,7,97,3,1,Assault,Male,Rockingham,Heavy Use,2010-07-01,2010
196,2010-07-01,12,7,97,9,3,Assault,Male,Rockingham,Not Reported,2010-07-01,2010
197,2010-07-01,12,7,99,9,1,Assault,Male,Salem,Not Reported,2010-07-01,2010
198,2010-07-01,12,7,103,9,1,Assault,Male,Southampton,Not Reported,2010-07-01,2010
199,2010-07-01,12,7,104,3,1,Assault,Male,Spotsylvania,Heavy Use,2010-07-01,2010
200,2010-07-01,12,7,105,0,1,Assault,Male,Stafford,Drugs Not Used,2010-07-01,2010
201,2010-07-01,12,7,105,5,1,Assault,Male,Stafford,"Drugs Used, Extent Unknown",2010-07-01,2010
202,2010-07-01,12,7,107,1,1,Assault,Male,Suffolk,Occasional Use,2010-07-01,2010
203,2010-07-01,12,7,107,5,1,Assault,Male,Suffolk,"Drugs Used, Extent Unknown",2010-07-01,2010
204,2010-07-01,12,7,107,9,1,Assault,Male,Suffolk,Not Reported,2010-07-01,2010
205,2010-07-01,12,7,111,0,2,Assault,Male,Virginia Beach,Drugs Not Used,2010-07-01,2010
206,2010-07-01,12,7,111,2,1,Assault,Male,Virginia Beach,Moderate Use,2010-07-01,2010
207,2010-07-01,12,7,111,3,3,Assault,Male,Virginia Beach,Heavy Use,2010-07-01,2010
208,2010-07-01,12,7,111,5,1,Assault,Male,Virginia Beach,"Drugs Used, Extent Unknown",2010-07-01,2010
209,2010-07-01,12,7,112,1,1,Assault,Male,Warren,Occasional Use,2010-07-01,2010
210,2010-07-01,12,7,113,3,1,Assault,Male,Washington,Heavy Use,2010-07-01,2010
211,2010-07-01,12,7,114,5,1,Assault,Male,Waynesboro,"Drugs Used, Extent Unknown",2010-07-01,2010
212,2010-07-01,12,8,5,9,1,Weapons,Male,Amelia,Not Reported,2010-07-01,2010
213,2010-07-01,12,8,7,9,1,Weapons,Male,Appomattox,Not Reported,2010-07-01,2010
214,2010-07-01,12,8,8,9,1,Weapons,Male,Arlington,Not Reported,2010-07-01,2010
215,2010-07-01,12,8,25,1,2,Weapons,Male,Chesapeake,Occasional Use,2010-07-01,2010
216,2010-07-01,12,8,25,9,1,Weapons,Male,Chesapeake,Not Reported,2010-07-01,2010
217,2010-07-01,12,8,26,5,1,Weapons,Male,Chesterfield,"Drugs Used, Extent Unknown",2010-07-01,2010
218,2010-07-01,12,8,32,0,1,Weapons,Male,Danville,Drugs Not Used,2010-07-01,2010
219,2010-07-01,12,8,41,9,1,Weapons,Male,Frederick,Not Reported,2010-07-01,2010
220,2010-07-01,12,8,46,9,1,Weapons,Male,Grayson,Not Reported,2010-07-01,2010
221,2010-07-01,12,8,52,0,1,Weapons,Male,Henrico,Drugs Not Used,2010-07-01,2010
222,2010-07-01,12,8,74,0,1,Weapons,Male,Newport News,Drugs Not Used,2010-07-01,2010
223,2010-07-01,12,8,74,5,1,Weapons,Male,Newport News,"Drugs Used, Extent Unknown",2010-07-01,2010
224,2010-07-01,12,8,74,9,1,Weapons,Male,Newport News,Not Reported,2010-07-01,2010
225,2010-07-01,12,8,75,9,2,Weapons,Male,Norfolk,Not Reported,2010-07-01,2010
226,2010-07-01,12,8,80,9,1,Weapons,Male,Page,Not Reported,2010-07-01,2010
227,2010-07-01,12,8,88,9,1,Weapons,Male,Prince William,Not Reported,2010-07-01,2010
228,2010-07-01,12,8,93,1,1,Weapons,Male,Richmond City,Occasional Use,2010-07-01,2010
229,2010-07-01,12,8,95,9,2,Weapons,Male,Roanoke City,Not Reported,2010-07-01,2010
230,2010-07-01,12,8,96,5,1,Weapons,Male,Rockbridge,"Drugs Used, Extent Unknown",2010-07-01,2010
231,2010-07-01,12,8,105,0,1,Weapons,Male,Stafford,Drugs Not Used,2010-07-01,2010
232,2010-07-01,12,8,107,0,1,Weapons,Male,Suffolk,Drugs Not Used,2010-07-01,2010
233,2010-07-01,12,8,107,3,1,Weapons,Male,Suffolk,Heavy Use,2010-07-01,2010
234,2010-07-01,12,8,115,9,1,Weapons,Male,Westmoreland,Not Reported,2010-07-01,2010
235,2010-07-01,12,9,23,9,1,Homicide—2nd,Male,Charlotte,Not Reported,2010-07-01,2010
236,2010-07-01,12,9,75,0,1,Homicide—2nd,Male,Norfolk,Drugs Not Used,2010-07-01,2010
237,2010-07-01,12,10,24,2,1,Arson,Male,Charlottesville,Moderate Use,2010-07-01,2010
238,2010-07-01,12,10,44,1,1,Arson,Male,Gloucester,Occasional Use,2010-07-01,2010
239,2010-07-01,12,10,51,9,1,Arson,Male,Hanover,Not Reported,2010-07-01,2010
240,2010-07-01,12,10,53,9,1,Arson,Male,Henry,Not Reported,2010-07-01,2010
241,2010-07-01,12,10,75,9,1,Arson,Male,Norfolk,Not Reported,2010-07-01,2010
242,2010-07-01,12,10,97,5,1,Arson,Male,Rockingham,"Drugs Used, Extent Unknown",2010-07-01,2010
243,2010-07-01,12,10,107,1,1,Arson,Male,Suffolk,Occasional Use,2010-07-01,2010
244,2010-07-01,12,10,113,9,1,Arson,Male,Washington,Not Reported,2010-07-01,2010
245,2010-07-01,12,11,1,9,1,Burglary/B&E,Male,Accomack,Not Reported,2010-07-01,2010
246,2010-07-01,12,11,4,9,1,Burglary/B&E,Male,Alleghany,Not Reported,2010-07-01,2010
247,2010-07-01,12,11,6,9,1,Burglary/B&E,Male,Amherst,Not Reported,2010-07-01,2010
248,2010-07-01,12,11,8,3,2,Burglary/B&E,Male,Arlington,Heavy Use,2010-07-01,2010
249,2010-07-01,12,11,8,9,1,Burglary/B&E,Male,Arlington,Not Reported,2010-07-01,2010
250,2010-07-01,12,11,11,9,1,Burglary/B&E,Male,Bedford,Not Reported,2010-07-01,2010
251,2010-07-01,12,11,12,3,1,Burglary/B&E,Male,Bland,Heavy Use,2010-07-01,2010
252,2010-07-01,12,11,13,9,1,Burglary/B&E,Male,Botetourt,Not Reported,2010-07-01,2010
253,2010-07-01,12,11,14,9,1,Burglary/B&E,Male,Bristol,Not Reported,2010-07-01,2010
254,2010-07-01,12,11,19,1,1,Burglary/B&E,Male,Campbell,Occasional Use,2010-07-01,2010
255,2010-07-01,12,11,21,9,3,Burglary/B&E,Male,Carroll,Not Reported,2010-07-01,2010
256,2010-07-01,12,11,24,2,1,Burglary/B&E,Male,Charlottesville,Moderate Use,2010-07-01,2010
257,2010-07-01,12,11,25,0,1,Burglary/B&E,Male,Chesapeake,Drugs Not Used,2010-07-01,2010
258,2010-07-01,12,11,25,2,1,Burglary/B&E,Male,Chesapeake,Moderate Use,2010-07-01,2010
259,2010-07-01,12,11,25,3,1,Burglary/B&E,Male,Chesapeake,Heavy Use,2010-07-01,2010
260,2010-07-01,12,11,25,5,1,Burglary/B&E,Male,Chesapeake,"Drugs Used, Extent Unknown",2010-07-01,2010
261,2010-07-01,12,11,26,3,2,Burglary/B&E,Male,Chesterfield,Heavy Use,2010-07-01,2010
