County,State,FIPS County Code,Rate,Year
"Aleutians East, AK",AK,2013,–,2015
"Aleutians West, AK",AK,2016,–,2015
"Anchorage, AK",AK,2020,68.2,2015
"Bethel, AK",AK,2050,–,2015
"Bristol Bay, AK",AK,2060,–,2015
"Denali, AK",AK,2068,–,2015
"Dillingham, AK",AK,2070,–,2015
"Fairbanks North Star, AK",AK,2090,50.5,2015
"Haines, AK",AK,2100,–,2015
"Hoonah-Angoon, AK",AK,2105,–,2015
"Juneau, AK",AK,2110,81.3,2015
"Kenai Peninsula, AK",AK,2122,100.1,2015
"Ketchikan Gateway, AK",AK,2130,101.8,2015
"Kodiak Island, AK",AK,2150,34.2,2015
"Lake and Peninsula, AK",AK,2164,–,2015
"Matanuska-Susitna, AK",AK,2170,78.9,2015
"Nome, AK",AK,2180,–,2015
"North Slope, AK",AK,2185,–,2015
"Northwest Arctic, AK",AK,2188,–,2015
"Petersburg, AK",AK,2195,80.3,2015
"Prince of Wales-Hyder, AK",AK,2198,63.9,2015
"Sitka, AK",AK,2220,10.5,2015
"Skagway, AK",AK,2230,–,2015
"Southeast Fairbanks, AK",AK,2240,–,2015
"Valdez-Cordova, AK",AK,2261,43,2015
"Wade Hampton, AK",AK,2270,–,2015
"Wrangell, AK",AK,2275,0.4,2015
"Yakutat, AK",AK,2282,–,2015
"Yukon-Koyukuk, AK",AK,2290,–,2015
"Autauga, AL",AL,1001,129.9,2015
"Baldwin, AL",AL,1003,132.1,2015
"Barbour, AL",AL,1005,93.3,2015
"Bibb, AL",AL,1007,69.4,2015
"Blount, AL",AL,1009,57.9,2015
"Bullock, AL",AL,1011,23.4,2015
"Butler, AL",AL,1013,140.5,2015
"Calhoun, AL",AL,1015,165.4,2015
"Chambers, AL",AL,1017,147.3,2015
"Cherokee, AL",AL,1019,169.2,2015
"Chilton, AL",AL,1021,120.6,2015
"Choctaw, AL",AL,1023,97,2015
"Clarke, AL",AL,1025,165.6,2015
"Clay, AL",AL,1027,139.7,2015
"Cleburne, AL",AL,1029,51.1,2015
"Coffee, AL",AL,1031,131.9,2015
"Colbert, AL",AL,1033,222.9,2015
"Conecuh, AL",AL,1035,102.8,2015
"Coosa, AL",AL,1037,26.8,2015
"Covington, AL",AL,1039,198.8,2015
"Crenshaw, AL",AL,1041,94,2015
"Cullman, AL",AL,1043,172,2015
"Dale, AL",AL,1045,63.8,2015
"Dallas, AL",AL,1047,115.7,2015
"DeKalb, AL",AL,1049,117.6,2015
"Elmore, AL",AL,1051,113.1,2015
"Escambia, AL",AL,1053,174.3,2015
"Etowah, AL",AL,1055,171.9,2015
"Fayette, AL",AL,1057,162,2015
"Franklin, AL",AL,1059,222.4,2015
"Geneva, AL",AL,1061,56.4,2015
"Greene, AL",AL,1063,78.7,2015
"Hale, AL",AL,1065,85.1,2015
"Henry, AL",AL,1067,49.2,2015
"Houston, AL",AL,1069,146.6,2015
"Jackson, AL",AL,1071,117.3,2015
"Jefferson, AL",AL,1073,123.4,2015
"Lamar, AL",AL,1075,107.9,2015
"Lauderdale, AL",AL,1077,140.2,2015
"Lawrence, AL",AL,1079,126.2,2015
"Lee, AL",AL,1081,63.2,2015
"Limestone, AL",AL,1083,70.2,2015
"Lowndes, AL",AL,1085,0.4,2015
"Macon, AL",AL,1087,62.3,2015
"Madison, AL",AL,1089,117.4,2015
"Marengo, AL",AL,1091,130.8,2015
"Marion, AL",AL,1093,192.9,2015
"Marshall, AL",AL,1095,200.4,2015
"Mobile, AL",AL,1097,143,2015
"Monroe, AL",AL,1099,134.5,2015
"Montgomery, AL",AL,1101,87,2015
"Morgan, AL",AL,1103,138,2015
"Perry, AL",AL,1105,4,2015
"Pickens, AL",AL,1107,98.9,2015
"Pike, AL",AL,1109,104.7,2015
"Randolph, AL",AL,1111,112.1,2015
"Russell, AL",AL,1113,117.9,2015
"St. Clair, AL",AL,1115,107.6,2015
"Shelby, AL",AL,1117,103.4,2015
"Sumter, AL",AL,1119,41.3,2015
"Talladega, AL",AL,1121,140.1,2015
"Tallapoosa, AL",AL,1123,103.1,2015
"Tuscaloosa, AL",AL,1125,114,2015
"Walker, AL",AL,1127,249.9,2015
"Washington, AL",AL,1129,37.8,2015
"Wilcox, AL",AL,1131,63.5,2015
"Winston, AL",AL,1133,169.3,2015
"Arkansas, AR",AR,5001,84.3,2015
"Ashley, AR",AR,5003,120.7,2015
"Baxter, AR",AR,5005,140.5,2015
"Benton, AR",AR,5007,93.2,2015
"Boone, AR",AR,5009,169.5,2015
"Bradley, AR",AR,5011,129.3,2015
"Calhoun, AR",AR,5013,88.7,2015
"Carroll, AR",AR,5015,72.2,2015
"Chicot, AR",AR,5017,85.4,2015
"Clark, AR",AR,5019,99.7,2015
"Clay, AR",AR,5021,144.2,2015
"Cleburne, AR",AR,5023,111.9,2015
"Cleveland, AR",AR,5025,0.6,2015
"Columbia, AR",AR,5027,116.6,2015
"Conway, AR",AR,5029,133.7,2015
"Craighead, AR",AR,5031,164.4,2015
"Crawford, AR",AR,5033,164.7,2015
"Crittenden, AR",AR,5035,106.5,2015
"Cross, AR",AR,5037,128.1,2015
"Dallas, AR",AR,5039,106.5,2015
"Desha, AR",AR,5041,163.3,2015
"Drew, AR",AR,5043,116.6,2015
"Faulkner, AR",AR,5045,97.4,2015
"Franklin, AR",AR,5047,29.5,2015
"Fulton, AR",AR,5049,93.7,2015
"Garland, AR",AR,5051,182.5,2015
"Grant, AR",AR,5053,80.9,2015
