GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
OCCUPATION2010.id,Id
OCCUPATION2010.display-label,Occupation Code
EST_HC1_VC3,"Estimate; Total, race and ethnicity; No earnings  - Total, both sexes - Number"
EST_HC2_VC3,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; No earnings  - Total, both sexes - Number"
EST_HC3_VC3,"Estimate; Hispanic or Latino - All other Hispanic or Latino; No earnings  - Total, both sexes - Number"
EST_HC4_VC3,"Estimate; Not Hispanic or Latino, one race - White alone; No earnings  - Total, both sexes - Number"
EST_HC5_VC3,"Estimate; Not Hispanic or Latino, one race - Black or African American alone; No earnings  - Total, both sexes - Number"
EST_HC6_VC3,"Estimate; Not Hispanic or Latino, one race - American Indian and Alaska Native alone; No earnings  - Total, both sexes - Number"
EST_HC7_VC3,"Estimate; Not Hispanic or Latino, one race - Asian alone; No earnings  - Total, both sexes - Number"
EST_HC8_VC3,"Estimate; Not Hispanic or Latino, one race - Native Hawaiian and Other Pacific Islander alone ; No earnings  - Total, both sexes - Number"
EST_HC9_VC3,"Estimate; Not Hispanic or Latino, two or more races - White and Black; No earnings  - Total, both sexes - Number"
EST_HC10_VC3,"Estimate; Not Hispanic or Latino, two or more races - White and AIAN; No earnings  - Total, both sexes - Number"
EST_HC11_VC3,"Estimate; Not Hispanic or Latino, two or more races - White and Asian; No earnings  - Total, both sexes - Number"
EST_HC12_VC3,"Estimate; Not Hispanic or Latino, two or more races - Black and AIAN; No earnings  - Total, both sexes - Number"
EST_HC13_VC3,"Estimate; Not Hispanic or Latino, two or more races - NHPI and White (Hawaii only); No earnings  - Total, both sexes - Number"
EST_HC14_VC3,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian (Hawaii only); No earnings  - Total, both sexes - Number"
EST_HC15_VC3,"Estimate; Not Hispanic or Latino, two or more races - NHPI and Asian and White (Hawaii only); No earnings  - Total, both sexes - Number"
EST_HC16_VC3,"Estimate; Balance of not Hispanic or Latino; No earnings  - Total, both sexes - Number"
EST_HC1_VC4,"Estimate; Total, race and ethnicity; No earnings  - Total, both sexes - Percent"
EST_HC2_VC4,"Estimate; Hispanic or Latino - White alone Hispanic or Latino; No earnings  - Total, both sexes - Percent"
EST_HC3_VC4,"Estimate; Hispanic or Latino - All other Hispanic or Latino; No earnings  - Total, both sexes - Percent"
EST_HC4_VC4,"Estimate; Not Hispanic or Latino, one race - White alone; No earnings  - Total, both sexes - Percent"
