FIPS_Code,Type,Rate_x,FIPS_County_Code,Rate_y,Percent_below_poverty_level_Estimate_Population_for_whom_poverty_status_is_determined,"Percent_below_poverty_level_Estimate_White_alone,_not_Hispanic_or_Latino",Total_Estimate_ALL_INDIVIDUALS_WITH_INCOME_BELOW_THE_FOLLOWING_POVERTY_RATIOS__50_percent_of_poverty_level,Total_Estimate_ALL_INDIVIDUALS_WITH_INCOME_BELOW_THE_FOLLOWING_POVERTY_RATIOS__125_percent_of_poverty_level,Total_Estimate_ALL_INDIVIDUALS_WITH_INCOME_BELOW_THE_FOLLOWING_POVERTY_RATIOS__150_percent_of_poverty_level,Total_Estimate_ALL_INDIVIDUALS_WITH_INCOME_BELOW_THE_FOLLOWING_POVERTY_RATIOS__185_percent_of_poverty_level,Total_Estimate_ALL_INDIVIDUALS_WITH_INCOME_BELOW_THE_FOLLOWING_POVERTY_RATIOS__200_percent_of_poverty_level,Total_Estimate_ALL_INDIVIDUALS_WITH_INCOME_BELOW_THE_FOLLOWING_POVERTY_RATIOS__300_percent_of_poverty_level,Total_Estimate_ALL_INDIVIDUALS_WITH_INCOME_BELOW_THE_FOLLOWING_POVERTY_RATIOS__400_percent_of_poverty_level,Total_Estimate_ALL_INDIVIDUALS_WITH_INCOME_BELOW_THE_FOLLOWING_POVERTY_RATIOS__500_percent_of_poverty_level,Percent_below_poverty_level_Estimate_UNRELATED_INDIVIDUALS_FOR_WHOM_POVERTY_STATUS_IS_DETERMINED,"Percent_below_poverty_level_Estimate_Worked_fulltime,_yearround_in_the_past_12_months","Percent_below_poverty_level_Estimate_Worked_less_than_fulltime,_yearround_in_the_past_12_months",Percent_below_poverty_level_Estimate_Did_not_work,Percent_with_a_disability_Estimate_Total_civilian_noninstitutionalized_population,"Percent_with_a_disability_Estimate_White_alone,_not_Hispanic_or_Latino",Percent_households_receiving_food_stamps/SNAP_Estimate_Households,Percent_households_not_receiving_food_stamps/SNAP_Estimate_Households,Percent_Estimate_HOUSEHOLD_TYPE__Marriedcouple_family,Percent_households_receiving_food_stamps/SNAP_Estimate_HOUSEHOLD_TYPE__Marriedcouple_family,Percent_households_not_receiving_food_stamps/SNAP_Estimate_HOUSEHOLD_TYPE__Marriedcouple_family,Percent_Estimate_HOUSEHOLD_TYPE__Other_family:,Percent_households_receiving_food_stamps/SNAP_Estimate_HOUSEHOLD_TYPE__Other_family:,Percent_households_not_receiving_food_stamps/SNAP_Estimate_HOUSEHOLD_TYPE__Other_family:,Percent_Estimate_HOUSEHOLD_TYPE__Nonfamily_households,Percent_households_receiving_food_stamps/SNAP_Estimate_HOUSEHOLD_TYPE__Nonfamily_households,Percent_households_not_receiving_food_stamps/SNAP_Estimate_HOUSEHOLD_TYPE__Nonfamily_households,Percent_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__Below_poverty_level,Percent_households_receiving_food_stamps/SNAP_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__Below_poverty_level,Percent_households_not_receiving_food_stamps/SNAP_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__Below_poverty_level,Percent_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__At_or_above_poverty_level,Percent_households_receiving_food_stamps/SNAP_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__At_or_above_poverty_level,Percent_households_not_receiving_food_stamps/SNAP_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__At_or_above_poverty_level,Percent_Estimate_DISABILITY_STATUS__With_one_or_more_people_with_a_disability,Percent_households_receiving_food_stamps/SNAP_Estimate_DISABILITY_STATUS__With_one_or_more_people_with_a_disability,Percent_households_not_receiving_food_stamps/SNAP_Estimate_DISABILITY_STATUS__With_one_or_more_people_with_a_disability,Percent_Estimate_DISABILITY_STATUS__With_no_persons_with_a_disability,Percent_households_receiving_food_stamps/SNAP_Estimate_DISABILITY_STATUS__With_no_persons_with_a_disability,Percent_households_not_receiving_food_stamps/SNAP_Estimate_DISABILITY_STATUS__With_no_persons_with_a_disability,"Percent_Estimate_White_alone,_not_Hispanic_or_Latino","Percent_households_receiving_food_stamps/SNAP_Estimate_White_alone,_not_Hispanic_or_Latino","Percent_households_not_receiving_food_stamps/SNAP_Estimate_White_alone,_not_Hispanic_or_Latino",Percent_households_receiving_food_stamps/SNAP_Estimate_WORK_STATUS__Families__No_workers_in_past_12_months,Percent_households_not_receiving_food_stamps/SNAP_Estimate_WORK_STATUS__Families__No_workers_in_past_12_months,Percent_households_receiving_food_stamps/SNAP_Estimate_WORK_STATUS__Families__1_worker_in_past_12_months,Percent_households_not_receiving_food_stamps/SNAP_Estimate_WORK_STATUS__Families__1_worker_in_past_12_months,Percent_Estimate_WORK_STATUS__Families__2_or_more_workers_in_past_12_months,Percent_households_receiving_food_stamps/SNAP_Estimate_WORK_STATUS__Families__2_or_more_workers_in_past_12_months,Percent_households_not_receiving_food_stamps/SNAP_Estimate_WORK_STATUS__Families__2_or_more_workers_in_past_12_months,"Labor_Force_Participation_Rate_Estimate_White_alone,_not_Hispanic_or_Latino","Unemployment_rate_Estimate_White_alone,_not_Hispanic_or_Latino",Labor_Force_Participation_Rate_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__Below_poverty_level,Unemployment_rate_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__Below_poverty_level,Labor_Force_Participation_Rate_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__At_or_above_the_poverty_level,Unemployment_rate_Estimate_POVERTY_STATUS_IN_THE_PAST_12_MONTHS__At_or_above_the_poverty_level,Labor_Force_Participation_Rate_Estimate_DISABILITY_STATUS__With_any_disability,Unemployment_rate_Estimate_DISABILITY_STATUS__With_any_disability
51001,Diagnosed HIV,15.2,51001,64.8,19.6,12.2,3208,8212,10755,13324,13850,20212,24710,27379,36.5,3.9,43.4,54.8,12.4,15.1,14.4,85.6,47.5,18.3,52.4,18,48.9,12.8,34.5,32.8,34.8,17.6,54.1,11.4,82.4,45.9,88.6,22.4,27.7,21.5,77.6,72.3,78.5,66.2,32.5,71.9,26.1,21.2,49,30.5,44.8,24.9,48.3,55.8,4.9,44.5,25.3,81.5,4.6,35.2,7.5
51001,ED Heroin Overdose,0,51001,64.8,19.6,12.2,3208,8212,10755,13324,13850,20212,24710,27379,36.5,3.9,43.4,54.8,12.4,15.1,14.4,85.6,47.5,18.3,52.4,18,48.9,12.8,34.5,32.8,34.8,17.6,54.1,11.4,82.4,45.9,88.6,22.4,27.7,21.5,77.6,72.3,78.5,66.2,32.5,71.9,26.1,21.2,49,30.5,44.8,24.9,48.3,55.8,4.9,44.5,25.3,81.5,4.6,35.2,7.5
51001,ED Opioid Overdose,51.6,51001,64.8,19.6,12.2,3208,8212,10755,13324,13850,20212,24710,27379,36.5,3.9,43.4,54.8,12.4,15.1,14.4,85.6,47.5,18.3,52.4,18,48.9,12.8,34.5,32.8,34.8,17.6,54.1,11.4,82.4,45.9,88.6,22.4,27.7,21.5,77.6,72.3,78.5,66.2,32.5,71.9,26.1,21.2,49,30.5,44.8,24.9,48.3,55.8,4.9,44.5,25.3,81.5,4.6,35.2,7.5
51001,EMS Narcan,6.1,51001,64.8,19.6,12.2,3208,8212,10755,13324,13850,20212,24710,27379,36.5,3.9,43.4,54.8,12.4,15.1,14.4,85.6,47.5,18.3,52.4,18,48.9,12.8,34.5,32.8,34.8,17.6,54.1,11.4,82.4,45.9,88.6,22.4,27.7,21.5,77.6,72.3,78.5,66.2,32.5,71.9,26.1,21.2,49,30.5,44.8,24.9,48.3,55.8,4.9,44.5,25.3,81.5,4.6,35.2,7.5
51001,Fatal Fentanyl and/or Heroin Overdose,0,51001,64.8,19.6,12.2,3208,8212,10755,13324,13850,20212,24710,27379,36.5,3.9,43.4,54.8,12.4,15.1,14.4,85.6,47.5,18.3,52.4,18,48.9,12.8,34.5,32.8,34.8,17.6,54.1,11.4,82.4,45.9,88.6,22.4,27.7,21.5,77.6,72.3,78.5,66.2,32.5,71.9,26.1,21.2,49,30.5,44.8,24.9,48.3,55.8,4.9,44.5,25.3,81.5,4.6,35.2,7.5
51001,Fatal Prescription Opioid Overdose,3,51001,64.8,19.6,12.2,3208,8212,10755,13324,13850,20212,24710,27379,36.5,3.9,43.4,54.8,12.4,15.1,14.4,85.6,47.5,18.3,52.4,18,48.9,12.8,34.5,32.8,34.8,17.6,54.1,11.4,82.4,45.9,88.6,22.4,27.7,21.5,77.6,72.3,78.5,66.2,32.5,71.9,26.1,21.2,49,30.5,44.8,24.9,48.3,55.8,4.9,44.5,25.3,81.5,4.6,35.2,7.5
51001,Neonatal Abstinance Syndrome,15.5,51001,64.8,19.6,12.2,3208,8212,10755,13324,13850,20212,24710,27379,36.5,3.9,43.4,54.8,12.4,15.1,14.4,85.6,47.5,18.3,52.4,18,48.9,12.8,34.5,32.8,34.8,17.6,54.1,11.4,82.4,45.9,88.6,22.4,27.7,21.5,77.6,72.3,78.5,66.2,32.5,71.9,26.1,21.2,49,30.5,44.8,24.9,48.3,55.8,4.9,44.5,25.3,81.5,4.6,35.2,7.5
51001,Reported Hepatitis C (1830 year olds),111.2,51001,64.8,19.6,12.2,3208,8212,10755,13324,13850,20212,24710,27379,36.5,3.9,43.4,54.8,12.4,15.1,14.4,85.6,47.5,18.3,52.4,18,48.9,12.8,34.5,32.8,34.8,17.6,54.1,11.4,82.4,45.9,88.6,22.4,27.7,21.5,77.6,72.3,78.5,66.2,32.5,71.9,26.1,21.2,49,30.5,44.8,24.9,48.3,55.8,4.9,44.5,25.3,81.5,4.6,35.2,7.5
51003,Diagnosed HIV,4.7,51003,61.7,10.2,7.9,5419,12969,15578,20511,22231,34565,47842,58163,22.4,3.4,31.9,40.9,9.2,9.4,5,95,52.9,23.8,54.4,11.1,52.2,8.9,36,24.1,36.7,10.5,43,8.8,89.5,57,91.2,19.2,51.4,17.5,80.8,48.6,82.5,82.9,63.3,83.9,24.2,13.6,47.7,29.3,55.4,28.1,57.1,60.3,3.8,40.8,14.4,83.5,2.8,43.8,8.9
51003,ED Heroin Overdose,11.4,51003,61.7,10.2,7.9,5419,12969,15578,20511,22231,34565,47842,58163,22.4,3.4,31.9,40.9,9.2,9.4,5,95,52.9,23.8,54.4,11.1,52.2,8.9,36,24.1,36.7,10.5,43,8.8,89.5,57,91.2,19.2,51.4,17.5,80.8,48.6,82.5,82.9,63.3,83.9,24.2,13.6,47.7,29.3,55.4,28.1,57.1,60.3,3.8,40.8,14.4,83.5,2.8,43.8,8.9
51003,ED Opioid Overdose,71.9,51003,61.7,10.2,7.9,5419,12969,15578,20511,22231,34565,47842,58163,22.4,3.4,31.9,40.9,9.2,9.4,5,95,52.9,23.8,54.4,11.1,52.2,8.9,36,24.1,36.7,10.5,43,8.8,89.5,57,91.2,19.2,51.4,17.5,80.8,48.6,82.5,82.9,63.3,83.9,24.2,13.6,47.7,29.3,55.4,28.1,57.1,60.3,3.8,40.8,14.4,83.5,2.8,43.8,8.9
51003,EMS Narcan,15.1,51003,61.7,10.2,7.9,5419,12969,15578,20511,22231,34565,47842,58163,22.4,3.4,31.9,40.9,9.2,9.4,5,95,52.9,23.8,54.4,11.1,52.2,8.9,36,24.1,36.7,10.5,43,8.8,89.5,57,91.2,19.2,51.4,17.5,80.8,48.6,82.5,82.9,63.3,83.9,24.2,13.6,47.7,29.3,55.4,28.1,57.1,60.3,3.8,40.8,14.4,83.5,2.8,43.8,8.9
51003,Fatal Fentanyl and/or Heroin Overdose,0.9,51003,61.7,10.2,7.9,5419,12969,15578,20511,22231,34565,47842,58163,22.4,3.4,31.9,40.9,9.2,9.4,5,95,52.9,23.8,54.4,11.1,52.2,8.9,36,24.1,36.7,10.5,43,8.8,89.5,57,91.2,19.2,51.4,17.5,80.8,48.6,82.5,82.9,63.3,83.9,24.2,13.6,47.7,29.3,55.4,28.1,57.1,60.3,3.8,40.8,14.4,83.5,2.8,43.8,8.9
51003,Fatal Prescription Opioid Overdose,1.9,51003,61.7,10.2,7.9,5419,12969,15578,20511,22231,34565,47842,58163,22.4,3.4,31.9,40.9,9.2,9.4,5,95,52.9,23.8,54.4,11.1,52.2,8.9,36,24.1,36.7,10.5,43,8.8,89.5,57,91.2,19.2,51.4,17.5,80.8,48.6,82.5,82.9,63.3,83.9,24.2,13.6,47.7,29.3,55.4,28.1,57.1,60.3,3.8,40.8,14.4,83.5,2.8,43.8,8.9
51003,Neonatal Abstinance Syndrome,0,51003,61.7,10.2,7.9,5419,12969,15578,20511,22231,34565,47842,58163,22.4,3.4,31.9,40.9,9.2,9.4,5,95,52.9,23.8,54.4,11.1,52.2,8.9,36,24.1,36.7,10.5,43,8.8,89.5,57,91.2,19.2,51.4,17.5,80.8,48.6,82.5,82.9,63.3,83.9,24.2,13.6,47.7,29.3,55.4,28.1,57.1,60.3,3.8,40.8,14.4,83.5,2.8,43.8,8.9
51003,Reported Hepatitis C (1830 year olds),18.9,51003,61.7,10.2,7.9,5419,12969,15578,20511,22231,34565,47842,58163,22.4,3.4,31.9,40.9,9.2,9.4,5,95,52.9,23.8,54.4,11.1,52.2,8.9,36,24.1,36.7,10.5,43,8.8,89.5,57,91.2,19.2,51.4,17.5,80.8,48.6,82.5,82.9,63.3,83.9,24.2,13.6,47.7,29.3,55.4,28.1,57.1,60.3,3.8,40.8,14.4,83.5,2.8,43.8,8.9
51005,Diagnosed HIV,12.8,51005,85.7,17,15.3,1311,3352,4422,5169,5569,8412,10702,12843,29,4.4,36.4,40,18.8,19.2,12.3,87.7,51.4,26.3,54.9,13.2,34.7,10.2,35.4,39.1,34.9,16.6,57.2,11,83.4,42.8,89,35.4,56.8,32.4,64.6,43.2,67.6,94.8,88,95.7,34.6,24.1,31.3,29.8,44.7,34.1,46.1,51.5,4.8,29.6,42,80.4,2.1,33.8,17.1
51005,ED Heroin Overdose,0,51005,85.7,17,15.3,1311,3352,4422,5169,5569,8412,10702,12843,29,4.4,36.4,40,18.8,19.2,12.3,87.7,51.4,26.3,54.9,13.2,34.7,10.2,35.4,39.1,34.9,16.6,57.2,11,83.4,42.8,89,35.4,56.8,32.4,64.6,43.2,67.6,94.8,88,95.7,34.6,24.1,31.3,29.8,44.7,34.1,46.1,51.5,4.8,29.6,42,80.4,2.1,33.8,17.1
51005,ED Opioid Overdose,185,51005,85.7,17,15.3,1311,3352,4422,5169,5569,8412,10702,12843,29,4.4,36.4,40,18.8,19.2,12.3,87.7,51.4,26.3,54.9,13.2,34.7,10.2,35.4,39.1,34.9,16.6,57.2,11,83.4,42.8,89,35.4,56.8,32.4,64.6,43.2,67.6,94.8,88,95.7,34.6,24.1,31.3,29.8,44.7,34.1,46.1,51.5,4.8,29.6,42,80.4,2.1,33.8,17.1
51005,EMS Narcan,19.1,51005,85.7,17,15.3,1311,3352,4422,5169,5569,8412,10702,12843,29,4.4,36.4,40,18.8,19.2,12.3,87.7,51.4,26.3,54.9,13.2,34.7,10.2,35.4,39.1,34.9,16.6,57.2,11,83.4,42.8,89,35.4,56.8,32.4,64.6,43.2,67.6,94.8,88,95.7,34.6,24.1,31.3,29.8,44.7,34.1,46.1,51.5,4.8,29.6,42,80.4,2.1,33.8,17.1
51005,Fatal Fentanyl and/or Heroin Overdose,6.4,51005,85.7,17,15.3,1311,3352,4422,5169,5569,8412,10702,12843,29,4.4,36.4,40,18.8,19.2,12.3,87.7,51.4,26.3,54.9,13.2,34.7,10.2,35.4,39.1,34.9,16.6,57.2,11,83.4,42.8,89,35.4,56.8,32.4,64.6,43.2,67.6,94.8,88,95.7,34.6,24.1,31.3,29.8,44.7,34.1,46.1,51.5,4.8,29.6,42,80.4,2.1,33.8,17.1
51005,Fatal Prescription Opioid Overdose,6.4,51005,85.7,17,15.3,1311,3352,4422,5169,5569,8412,10702,12843,29,4.4,36.4,40,18.8,19.2,12.3,87.7,51.4,26.3,54.9,13.2,34.7,10.2,35.4,39.1,34.9,16.6,57.2,11,83.4,42.8,89,35.4,56.8,32.4,64.6,43.2,67.6,94.8,88,95.7,34.6,24.1,31.3,29.8,44.7,34.1,46.1,51.5,4.8,29.6,42,80.4,2.1,33.8,17.1
51005,Neonatal Abstinance Syndrome,0,51005,85.7,17,15.3,1311,3352,4422,5169,5569,8412,10702,12843,29,4.4,36.4,40,18.8,19.2,12.3,87.7,51.4,26.3,54.9,13.2,34.7,10.2,35.4,39.1,34.9,16.6,57.2,11,83.4,42.8,89,35.4,56.8,32.4,64.6,43.2,67.6,94.8,88,95.7,34.6,24.1,31.3,29.8,44.7,34.1,46.1,51.5,4.8,29.6,42,80.4,2.1,33.8,17.1
51005,Reported Hepatitis C (1830 year olds),0,51005,85.7,17,15.3,1311,3352,4422,5169,5569,8412,10702,12843,29,4.4,36.4,40,18.8,19.2,12.3,87.7,51.4,26.3,54.9,13.2,34.7,10.2,35.4,39.1,34.9,16.6,57.2,11,83.4,42.8,89,35.4,56.8,32.4,64.6,43.2,67.6,94.8,88,95.7,34.6,24.1,31.3,29.8,44.7,34.1,46.1,51.5,4.8,29.6,42,80.4,2.1,33.8,17.1
51007,Diagnosed HIV,0,51007,52.3,11.6,7.4,806,2159,2571,3639,4247,6105,8548,10221,21.3,0,30.6,33.8,15,15.1,13.1,86.9,61.6,39.1,65,17.2,43.8,13.2,21.2,17.2,21.8,11.1,54,4.6,88.9,46,95.4,31.4,49.4,28.7,68.6,50.6,71.3,71.9,66.1,72.7,24.7,17.4,53.6,28.6,49.6,21.7,54,59.2,2.7,51.8,39.1,77.6,2.4,39,9.3
51007,ED Heroin Overdose,7.8,51007,52.3,11.6,7.4,806,2159,2571,3639,4247,6105,8548,10221,21.3,0,30.6,33.8,15,15.1,13.1,86.9,61.6,39.1,65,17.2,43.8,13.2,21.2,17.2,21.8,11.1,54,4.6,88.9,46,95.4,31.4,49.4,28.7,68.6,50.6,71.3,71.9,66.1,72.7,24.7,17.4,53.6,28.6,49.6,21.7,54,59.2,2.7,51.8,39.1,77.6,2.4,39,9.3
51007,ED Opioid Overdose,93,51007,52.3,11.6,7.4,806,2159,2571,3639,4247,6105,8548,10221,21.3,0,30.6,33.8,15,15.1,13.1,86.9,61.6,39.1,65,17.2,43.8,13.2,21.2,17.2,21.8,11.1,54,4.6,88.9,46,95.4,31.4,49.4,28.7,68.6,50.6,71.3,71.9,66.1,72.7,24.7,17.4,53.6,28.6,49.6,21.7,54,59.2,2.7,51.8,39.1,77.6,2.4,39,9.3
51007,EMS Narcan,38.8,51007,52.3,11.6,7.4,806,2159,2571,3639,4247,6105,8548,10221,21.3,0,30.6,33.8,15,15.1,13.1,86.9,61.6,39.1,65,17.2,43.8,13.2,21.2,17.2,21.8,11.1,54,4.6,88.9,46,95.4,31.4,49.4,28.7,68.6,50.6,71.3,71.9,66.1,72.7,24.7,17.4,53.6,28.6,49.6,21.7,54,59.2,2.7,51.8,39.1,77.6,2.4,39,9.3
